#: table_doi: 10.17182/hepdata.51824.v1/t3
#: name: Table 3
#: description: Measured cross section for E+ E- --> OMEGA PI+ PI- with statistical errors only.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> OMEGA PI+ PI-
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 1.15-2.525
#: RE,,,E+ E- --> OMEGA PI+ PI-
#: SQRT(S) [GeV],,,1.15-2.525
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG [NB],error +,error -
1.15,1.1375,1.1625,0.0,0.09,-0.09
1.175,1.1625,1.1875,0.0,0.05,-0.05
1.2,1.1875,1.2125,0.06,0.08,-0.08
1.225,1.2125,1.2375,0.0,0.12,-0.12
1.25,1.2375,1.2625,0.15,0.14,-0.14
1.275,1.2625,1.2875,0.23,0.14,-0.14
1.3,1.2875,1.3125,0.3,0.15,-0.15
1.325,1.3125,1.3375,0.33,0.16,-0.16
1.35,1.3375,1.3625,0.55,0.2,-0.2
1.375,1.3625,1.3875,0.88,0.2,-0.2
1.4,1.3875,1.4125,0.69,0.22,-0.22
1.425,1.4125,1.4375,0.83,0.24,-0.24
1.45,1.4375,1.4625,1.17,0.23,-0.23
1.475,1.4625,1.4875,0.95,0.25,-0.25
1.5,1.4875,1.5125,1.06,0.25,-0.25
1.525,1.5125,1.5375,1.33,0.24,-0.24
1.55,1.5375,1.5625,1.67,0.27,-0.27
1.575,1.5625,1.5875,1.3,0.27,-0.27
1.6,1.5875,1.6125,2.1,0.28,-0.28
1.625,1.6125,1.6375,2.21,0.29,-0.29
1.65,1.6375,1.6625,2.8,0.3,-0.3
1.675,1.6625,1.6875,2.19,0.28,-0.28
1.7,1.6875,1.7125,1.99,0.26,-0.26
1.725,1.7125,1.7375,1.38,0.25,-0.25
1.75,1.7375,1.7625,1.51,0.24,-0.24
1.775,1.7625,1.7875,1.45,0.23,-0.23
1.8,1.7875,1.8125,1.18,0.23,-0.23
1.825,1.8125,1.8375,1.19,0.21,-0.21
1.85,1.8375,1.8625,0.79,0.2,-0.2
1.875,1.8625,1.8875,0.84,0.2,-0.2
1.9,1.8875,1.9125,0.95,0.2,-0.2
1.925,1.9125,1.9375,0.61,0.19,-0.19
1.95,1.9375,1.9625,0.28,0.18,-0.18
1.975,1.9625,1.9875,0.69,0.17,-0.17
2.0,1.9875,2.0125,0.11,0.17,-0.17
2.0250000000000004,2.0125,2.0375,0.49,0.16,-0.16
2.05,2.0375,2.0625,0.7,0.15,-0.15
2.075,2.0625,2.0875,0.4,0.15,-0.15
2.0999999999999996,2.0875,2.1125,0.35,0.15,-0.15
2.125,2.1125,2.1375,0.26,0.14,-0.14
2.1500000000000004,2.1375,2.1625,0.56,0.14,-0.14
2.175,2.1625,2.1875,0.43,0.14,-0.14
2.2,2.1875,2.2125,0.11,0.14,-0.14
2.2249999999999996,2.2125,2.2375,0.52,0.14,-0.14
2.25,2.2375,2.2625,0.35,0.13,-0.13
2.2750000000000004,2.2625,2.2875,0.27,0.12,-0.12
2.3,2.2875,2.3125,-0.04,0.12,-0.12
2.325,2.3125,2.3375,0.11,0.11,-0.11
2.3499999999999996,2.3375,2.3625,-0.03,0.1,-0.1
2.375,2.3625,2.3875,0.0,0.1,-0.1
2.4000000000000004,2.3875,2.4125,0.05,0.1,-0.1
2.425,2.4125,2.4375,0.02,0.1,-0.1
2.45,2.4375,2.4625,-0.04,0.09,-0.09
2.4749999999999996,2.4625,2.4875,0.05,0.1,-0.1
2.5,2.4875,2.5125,0.02,0.1,-0.1
2.5250000000000004,2.5125,2.5375,0.15,0.09,-0.09

