#: table_doi: 10.17182/hepdata.50372.v1/t4
#: name: Table 4
#: description: The cross section for E+ E- --> ETA K+ K- excluding the contribution from PHI --> K+ K- with statistical errors only.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> ETA K+ K-
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering | Strange production | Electron production
#: keyword cmenergies: 1.64-3.12
#: RE,,,E+ E- --> ETA K+ K- - ETA PHI
#: SQRT(S) [GeV],,,1.64-3.12
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG [NB],error +,error -
1.69,1.64,1.74,0.08,0.04,-0.04
1.79,1.74,1.84,0.01,0.03,-0.03
1.8900000000000001,1.84,1.94,0.06,0.02,-0.02
1.99,1.94,2.04,0.03,0.02,-0.02
2.09,2.04,2.14,0.03,0.01,-0.01
2.1900000000000004,2.14,2.24,0.0,0.01,-0.01
2.29,2.24,2.34,0.02,0.01,-0.01
2.3899999999999997,2.34,2.44,0.01,0.01,-0.01
2.49,2.44,2.54,0.03,0.01,-0.01
2.59,2.54,2.64,0.01,0.01,-0.01
2.66,2.64,2.68,0.01,0.01,-0.01
2.7,2.68,2.72,0.01,0.02,-0.02
2.74,2.72,2.76,0.02,0.02,-0.02
2.78,2.76,2.8,0.01,0.01,-0.01
2.82,2.8,2.84,0.01,0.01,-0.01
2.86,2.84,2.88,0.01,0.02,-0.02
2.9,2.88,2.92,0.01,0.01,-0.01
2.94,2.92,2.96,0.02,0.02,-0.02
2.98,2.96,3.0,0.03,0.02,-0.02
3.02,3.0,3.04,0.01,0.01,-0.01
3.06,3.04,3.08,0.01,0.01,-0.01
3.09,3.08,3.1,0.27,0.09,-0.09
3.1100000000000003,3.1,3.12,0.3,0.09,-0.09
3.13,3.12,3.14,0.11,0.05,-0.05

