#: table_doi: 10.17182/hepdata.50372.v1/t5
#: name: Table 5
#: description: The cross section for E+ E- --> PHI ETA with statistical errors only.

#: data_file: Table5.yaml
#: keyword reactions: E+ E- --> PHI ETA
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering | Electron production
#: keyword cmenergies: 1.56-3.42
#: RE,,,E+ E- --> PHI ETA
#: SQRT(S) [GeV],,,1.56-3.42
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG [NB],error +,error -,sys +,sys -
1.57,1.56,1.58,0.11,0.11,-0.11,5.3%,-5.3%
1.59,1.58,1.6,0.16,0.18,-0.18,5.3%,-5.3%
1.61,1.6,1.62,0.8,0.31,-0.31,5.3%,-5.3%
1.63,1.62,1.64,1.51,0.41,-0.41,5.3%,-5.3%
1.65,1.64,1.66,2.34,0.49,-0.49,5.3%,-5.3%
1.67,1.66,1.68,2.78,0.53,-0.53,5.3%,-5.3%
1.69,1.68,1.7,2.91,0.53,-0.53,5.3%,-5.3%
1.71,1.7,1.72,2.94,0.53,-0.53,5.3%,-5.3%
1.73,1.72,1.74,1.67,0.39,-0.39,5.3%,-5.3%
1.75,1.74,1.76,2.18,0.45,-0.45,5.3%,-5.3%
1.77,1.76,1.78,2.32,0.45,-0.45,5.3%,-5.3%
1.79,1.78,1.8,1.79,0.41,-0.41,5.3%,-5.3%
1.81,1.8,1.82,0.99,0.3,-0.3,5.3%,-5.3%
1.83,1.82,1.84,0.97,0.3,-0.3,5.3%,-5.3%
1.85,1.84,1.86,0.75,0.25,-0.25,5.3%,-5.3%
1.87,1.86,1.88,1.06,0.3,-0.3,5.3%,-5.3%
1.89,1.88,1.9,0.64,0.23,-0.23,5.3%,-5.3%
1.91,1.9,1.92,0.87,0.26,-0.26,5.3%,-5.3%
1.93,1.92,1.94,0.71,0.24,-0.24,5.3%,-5.3%
1.95,1.94,1.96,1.24,0.31,-0.31,5.3%,-5.3%
1.97,1.96,1.98,0.61,0.22,-0.22,5.3%,-5.3%
1.99,1.98,2.0,0.53,0.2,-0.2,5.3%,-5.3%
2.01,2.0,2.02,0.52,0.2,-0.2,5.3%,-5.3%
2.0300000000000002,2.02,2.04,0.37,0.16,-0.16,5.3%,-5.3%
2.05,2.04,2.06,0.36,0.16,-0.16,5.3%,-5.3%
2.0700000000000003,2.06,2.08,0.43,0.18,-0.18,5.3%,-5.3%
2.09,2.08,2.1,0.29,0.14,-0.14,5.3%,-5.3%
2.1100000000000003,2.1,2.12,0.56,0.2,-0.2,5.3%,-5.3%
2.13,2.12,2.14,0.7,0.22,-0.22,5.3%,-5.3%
2.1500000000000004,2.14,2.16,0.48,0.18,-0.18,5.3%,-5.3%
2.17,2.16,2.18,0.27,0.14,-0.14,5.3%,-5.3%
2.1900000000000004,2.18,2.2,0.2,0.12,-0.12,5.3%,-5.3%
2.21,2.2,2.22,0.27,0.13,-0.13,5.3%,-5.3%
2.2300000000000004,2.22,2.24,0.2,0.12,-0.12,5.3%,-5.3%
2.25,2.24,2.26,0.16,0.12,-0.12,5.3%,-5.3%
2.2699999999999996,2.26,2.28,0.13,0.09,-0.09,5.3%,-5.3%
2.29,2.28,2.3,0.13,0.09,-0.09,5.3%,-5.3%
2.3099999999999996,2.3,2.32,0.26,0.13,-0.13,5.3%,-5.3%
2.33,2.32,2.34,0.13,0.09,-0.09,5.3%,-5.3%
2.3499999999999996,2.34,2.36,0.13,0.09,-0.09,5.3%,-5.3%
2.37,2.36,2.38,0.41,0.17,-0.17,5.3%,-5.3%
2.3899999999999997,2.38,2.4,0.06,0.06,-0.06,5.3%,-5.3%
2.42,2.4,2.44,0.06,0.04,-0.04,5.3%,-5.3%
2.46,2.44,2.48,0.03,0.03,-0.03,5.3%,-5.3%
2.5,2.48,2.52,0.12,0.06,-0.06,5.3%,-5.3%
2.54,2.52,2.56,0.06,0.04,-0.04,5.3%,-5.3%
2.58,2.56,2.6,0.12,0.06,-0.06,5.3%,-5.3%
2.62,2.6,2.64,0.12,0.06,-0.06,5.3%,-5.3%
2.66,2.64,2.68,0.12,0.06,-0.06,5.3%,-5.3%
2.7,2.68,2.72,0.09,0.05,-0.05,5.3%,-5.3%
2.74,2.72,2.76,0.09,0.05,-0.05,5.3%,-5.3%
2.78,2.76,2.8,0.08,0.05,-0.05,5.3%,-5.3%
2.82,2.8,2.84,0.07,0.05,-0.05,5.3%,-5.3%
2.86,2.84,2.88,0.06,0.04,-0.04,5.3%,-5.3%
2.91,2.88,2.94,0.09,0.04,-0.04,5.3%,-5.3%
2.9699999999999998,2.94,3.0,0.02,0.02,-0.02,5.3%,-5.3%
3.0300000000000002,3.0,3.06,0.02,0.02,-0.02,5.3%,-5.3%
3.09,3.06,3.12,0.13,0.05,-0.05,5.3%,-5.3%
3.1500000000000004,3.12,3.18,0.08,0.04,-0.04,5.3%,-5.3%
3.21,3.18,3.24,0.02,0.02,-0.02,5.3%,-5.3%
3.27,3.24,3.3,0.02,0.02,-0.02,5.3%,-5.3%
3.33,3.3,3.36,0.01,0.02,-0.02,5.3%,-5.3%
3.3899999999999997,3.36,3.42,0.02,0.02,-0.02,5.3%,-5.3%
3.45,3.42,3.48,0.03,0.02,-0.02,5.3%,-5.3%

