#: table_doi: 10.17182/hepdata.62222.v1/t3
#: name: Table 3
#: description: Cross section measurements for the reaction E+ E- --> PHI PI+ PI-.  Statistical errors only.

#: data_file: Table3.yaml
#: keyword reactions: E+ E- --> PHI PI+ PI-
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 1.4875-2.8625
#: RE,E+ E- --> PHI PI+ PI-
SQRT(S) [GEV],SIG [NB],error +,error -
1.4875,0.04,0.01,-0.01
1.5125,0.08,0.03,-0.03
1.5375,0.1,0.03,-0.03
1.5625,0.12,0.03,-0.03
1.5875,0.21,0.04,-0.04
1.6125,0.33,0.05,-0.05
1.6375,0.48,0.06,-0.06
1.6625,0.49,0.06,-0.06
1.6875,0.54,0.07,-0.07
1.7125,0.53,0.07,-0.07
1.7375,0.48,0.07,-0.07
1.7625,0.61,0.08,-0.08
1.7875,0.48,0.07,-0.07
1.8125,0.34,0.07,-0.07
1.8375,0.29,0.07,-0.07
1.8625,0.36,0.07,-0.07
1.8875,0.34,0.06,-0.06
1.9125,0.29,0.06,-0.06
1.9375,0.32,0.06,-0.06
1.9625,0.28,0.05,-0.05
1.9875,0.32,0.05,-0.05
2.0125,0.37,0.05,-0.05
2.0375,0.31,0.05,-0.05
2.0625,0.39,0.05,-0.05
2.0875,0.32,0.05,-0.05
2.1125,0.51,0.05,-0.05
2.1375,0.41,0.05,-0.05
2.1625,0.43,0.05,-0.05
2.1875,0.33,0.04,-0.04
2.2125,0.21,0.04,-0.04
2.2375,0.19,0.03,-0.03
2.2625,0.1,0.04,-0.04
2.2875,0.13,0.03,-0.03
2.3125,0.13,0.03,-0.03
2.3375,0.15,0.03,-0.03
2.3625,0.12,0.03,-0.03
2.3875,0.1,0.03,-0.03
2.4125,0.12,0.02,-0.02
2.4375,0.12,0.02,-0.02
2.4625,0.1,0.02,-0.02
2.4875,0.08,0.02,-0.02
2.5125,0.08,0.02,-0.02
2.5375,0.07,0.02,-0.02
2.5625,0.05,0.02,-0.02
2.5875,0.07,0.02,-0.02
2.6125,0.07,0.02,-0.02
2.6375,0.1,0.02,-0.02
2.6625,0.07,0.02,-0.02
2.6875,0.04,0.01,-0.01
2.7125,0.05,0.01,-0.01
2.7375,0.06,0.01,-0.01
2.7625,0.03,0.01,-0.01
2.7875,0.02,0.01,-0.01
2.8125,0.03,0.01,-0.01
2.8375,0.04,0.01,-0.01
2.8625,0.03,0.01,-0.01

