test,trial,nll_con,nll_unc,lambda_obs,p_boot,p_wilks,k_exceed,n_boot,chi2_dof_a,chi2_dof_b,dev_dof_a,dev_dof_b,gates,starts_used,optimizer_retries,converged,rejected,pass_trial
Y-states,26,3.41250729774163,3.135553283480557,0.5539080285221463,0.0,0.7580893576082415,0,50,2.0055337081728055,0.8231486541083068,0.0,0.0,PASS,153,0,True,True,True
Y-states,14,4.652394769895163,4.620155372917055,0.0644787939562157,0.48,0.968274752280954,24,50,1.1631513567977432,1.3066445120278258,0.0,0.0,PASS,153,0,True,False,True
Y-states,17,4.935830231116342,4.876607653287503,0.11844515565767821,0.32,0.9424969668807226,16,50,1.0882906972266244,1.2114745761669412,0.0,0.0,PASS,153,0,True,False,True
Y-states,13,4.3805734677266575,4.369860043271229,0.021426848910856222,0.84,0.9893437598808091,42,50,0.9376336449737688,0.8873129632332752,0.0,0.0,PASS,153,0,True,False,True
Y-states,23,5.228948212554585,5.216730707452136,0.02443501020489869,0.72,0.9878568255931831,36,50,1.1059213704635475,1.0861047960795513,0.0,0.0,PASS,153,0,True,False,True
Y-states,9,4.189352361278494,4.1500007830823975,0.0787031563921925,0.44,0.961412637999655,22,50,1.0431020444068035,1.1336937830490226,0.0,0.0,PASS,153,0,True,False,True
Y-states,19,4.465121009575101,4.449710457010035,0.0308211051301317,0.7,0.9847075823800089,35,50,1.4330358113910016,1.045199883349007,0.0,0.0,PASS,153,0,True,False,True
Y-states,25,4.052253913789433,4.030783320018186,0.04294118754249432,0.62,0.9787582586352199,31,50,0.9282781162826839,0.9850048439000443,0.0,0.0,PASS,153,0,True,False,True
Y-states,27,4.210796274838462,4.070631617140187,0.2803293153965516,0.08,0.8692151006572298,4,50,0.8525450994183157,0.8641230652387388,0.0,0.0,PASS,153,0,True,False,True
Y-states,15,4.092864422050576,4.056602370268973,0.07252410356320738,0.52,0.9643875408941885,26,50,0.8545060486744115,0.8657724657038495,0.0,0.0,PASS,153,0,True,False,True
Y-states,7,4.262192089040061,4.196730091198557,0.13092399568300905,0.3,0.9366346402213594,15,50,1.1121021507321096,1.0231353580022824,0.0,0.0,PASS,153,0,True,False,True
Y-states,16,5.427715927441949,5.427638963173636,0.00015392853662632433,1.0,0.9999230386933602,50,50,1.6981300328590643,1.1250922507093837,0.0,0.0,PASS,153,0,True,False,True
Y-states,20,4.312766487152114,4.2720058411505715,0.08152129200308522,0.4,0.9600588963845486,20,50,0.7263558341051113,1.4426533013482516,0.0,0.0,PASS,153,0,True,False,True
Y-states,3,3.881021044225986,3.7793981571870336,0.20324577407790478,0.14,0.9033701600368986,7,50,0.8730272771444915,0.8578900693382264,0.0,0.0,PASS,153,0,True,False,True
Y-states,22,3.8356318917550984,3.72457506965533,0.2221136441995366,0.1,0.8948878980748927,5,50,1.056498846981442,1.1206593761902315,0.0,0.0,PASS,153,0,True,False,True
Y-states,12,3.9308348036447116,3.9091124147473435,0.04344477779473621,0.62,0.9785118431004621,31,50,1.0022165530339169,0.9610000962407523,0.0,0.0,PASS,153,0,True,False,True
Y-states,21,4.026882925301104,3.944645058029461,0.16447573454328523,0.18,0.9210528443101964,9,50,1.0845212470845262,1.0875036892552925,0.0,0.0,PASS,153,0,True,False,True
Y-states,1,6.532133609549465,6.347603755229772,0.3690597086393854,0.0,0.8314951158078425,0,50,2.07817983252776,1.336230501648082,0.0,0.0,PASS,153,0,True,True,True
Y-states,24,5.928454120057947,5.9191943107373275,0.018519618641239077,0.82,0.990782930690522,41,50,0.9681776773752617,1.566248120859226,0.0,0.0,PASS,153,0,True,False,True
Y-states,28,4.313240257116103,4.236305282543105,0.15386994914599583,0.24,0.9259500619470984,12,50,0.9876960497747798,1.3922346448666343,0.0,0.0,PASS,153,0,True,False,True
Y-states,6,3.8640822116130393,3.7309034972989523,0.266357428628174,0.1,0.8753086479451498,5,50,1.0052914735526068,1.4793503221751545,0.0,0.0,PASS,153,0,True,False,True
Y-states,10,4.572266723085279,4.4870833480531305,0.17036675006429647,0.2,0.9183438676239647,10,50,0.847868050839077,1.176177501166954,0.0,0.0,PASS,153,0,True,False,True
Y-states,0,3.4719523664669305,3.4102004744171204,0.12350378409962026,0.3,0.9401161081383881,15,50,1.5205263803123892,0.7205191919778764,0.0,0.0,PASS,153,0,True,False,True
Y-states,29,4.3052799617001,4.210822654093112,0.18891461521397446,0.18,0.9098665781784068,9,50,0.9031306298954125,1.1455588172152473,0.0,0.0,PASS,153,0,True,False,True
Y-states,2,3.881460074350768,3.846291083752761,0.07033798119601364,0.54,0.9654422518078517,27,50,0.8954495386821225,0.9429528005127537,0.0,0.0,PASS,153,0,True,False,True
Y-states,11,5.027178124839073,4.839974323885802,0.3744076019065403,0.02,0.8292747121854762,1,50,1.0186353133718087,1.165228345930345,0.0,0.0,PASS,153,0,True,True,True
Y-states,4,4.73742677721521,4.710056014350208,0.05474152573000346,0.48,0.9730004222150813,24,50,1.2828528861764101,0.9943335673167466,0.0,0.0,PASS,153,0,True,False,True
Y-states,8,3.991051958372057,3.97719006691025,0.027723782923613882,0.74,0.9862337421580454,37,50,0.8424401021140978,0.8681227930224953,0.0,0.0,PASS,153,0,True,False,True
Y-states,5,4.75550818125454,4.228902073932463,1.0532122146441534,0.0,0.5906060255387882,0,50,1.050888411387459,0.9975415582805734,0.0,0.0,PASS,153,0,True,True,True
Y-states,18,6.332407436843845,6.318343134880516,0.028128603926658613,0.74,0.9860341382933177,37,50,1.5939298561365982,0.9711757375626044,0.0,0.0,PASS,153,0,True,False,True
Y-states,30,3.0105173988178398,2.9407204690369917,0.13959385956169612,0.22,0.9325831805493954,11,50,0.9647405844897188,0.7392311611263269,0.0,0.0,PASS,153,0,True,False,True
Y-states,31,3.951940127819487,3.88581249694629,0.13225526174639413,0.3,0.9360113927162755,15,50,0.779860154389349,1.0911407184734874,0.0,0.0,PASS,153,0,True,False,True
Y-states,37,3.6879401381084866,3.6348431814566915,0.10619391330359029,0.36,0.9482880651891813,18,50,0.8645818656278432,0.8253214492915548,0.0,0.0,PASS,153,0,True,False,True
Y-states,35,4.797356719091798,4.581560201973849,0.4315930342358989,0.02,0.8058992718968555,1,50,1.4582616049540944,0.739756889347843,0.0,0.0,PASS,153,0,True,True,True
Y-states,33,3.661284291392442,3.5218186903353805,0.2789312021141228,0.06,0.8698229436795856,3,50,1.2342775687466485,0.8718173182888039,0.0,0.0,PASS,153,0,True,False,True
Y-states,36,3.0055588136471045,2.792085306625994,0.4269470140422209,0.0,0.8077735601949638,0,50,1.057624513165987,0.7813747571420927,0.0,0.0,PASS,153,0,True,True,True
Y-states,32,3.058067568768579,3.0306997679593803,0.054735601618397745,0.54,0.9730033043008967,27,50,0.8373563909627736,0.6010013480638305,0.0,0.0,PASS,153,0,True,False,True
Y-states,45,4.621756258129436,4.621309286525362,0.0008939432081476184,0.98,0.9995531282728524,49,50,1.060693004072283,1.059032101242249,0.0,0.0,PASS,153,0,True,False,True
Y-states,34,3.4355049418865087,3.435180679382997,0.0006485250070236148,0.98,0.9996757900638917,49,50,1.3544385677978839,0.8305932585535851,0.0,0.0,PASS,153,0,True,False,True
Y-states,51,6.550237911032054,6.542297919589569,0.015879982884969834,0.86,0.9920914470274815,43,50,0.8063582138664295,1.5355335295701948,0.0,0.0,PASS,153,0,True,False,True
Y-states,48,3.901707694574656,3.8551844060174627,0.09304657711438669,0.4,0.9545423303974621,20,50,0.9160976949832061,1.0684419165193737,0.0,0.0,PASS,153,0,True,False,True
Y-states,38,4.38591533733585,4.313210332145974,0.1454100103797522,0.22,0.9298750978979476,11,50,0.8393117950379982,0.9388608508112546,0.0,0.0,PASS,153,0,True,False,True
Y-states,40,5.391464821722192,5.322947168972996,0.13703530549839193,0.26,0.9337769762272641,13,50,1.300268037383883,1.391695730052224,0.0,0.0,PASS,153,0,True,False,True
Y-states,44,5.629684695100495,5.540064040804884,0.17924130859122123,0.14,0.9142779469075786,7,50,1.5937354526874412,1.263522347914189,0.0,0.0,PASS,153,0,True,False,True
Y-states,43,3.9204350248813062,3.8993482023603017,0.042173645042009156,0.62,0.9791339500009831,31,50,1.2216631624376926,0.8847957373206837,0.0,0.0,PASS,153,0,True,False,True
Y-states,50,5.110649784296011,5.005003438284261,0.2112926920235001,0.12,0.8997427894425121,6,50,1.6856393324013639,0.7983585282848528,0.0,0.0,PASS,153,0,True,False,True
Y-states,42,4.331922337606394,4.230270567754184,0.20330353970441983,0.16,0.9033440685420636,8,50,0.9774004551790583,1.183517077378887,0.0,0.0,PASS,153,0,True,False,True
Y-states,57,4.100072078912035,3.892895193915513,0.41435376999304374,0.04,0.812875851727863,2,50,1.1807246807436367,1.1625277277061485,0.0,0.0,PASS,153,0,True,True,True
Y-states,47,3.5716970880470305,3.5504073652446317,0.04257944560479743,0.58,0.9789353036003922,29,50,1.26445284617816,0.8206852551956032,0.0,0.0,PASS,153,0,True,False,True
Y-states,58,4.310158307173252,4.222543838801252,0.17522893674399853,0.2,0.9161139995706274,10,50,0.8296960406794209,1.0659089632851786,0.0,0.0,PASS,153,0,True,False,True
Y-states,49,3.7947304656871514,3.5363273122412986,0.5168063068917057,0.0,0.7722838204544129,0,50,1.2210176105999606,0.7286435266906331,0.0,0.0,PASS,153,0,True,True,True
Y-states,56,5.16373685175145,4.733070259118811,0.861333185265277,0.0,0.6500756146466737,0,50,1.2846321571869743,1.1934382047950656,0.0,0.0,PASS,153,0,True,True,True
Y-states,46,4.016405786570897,4.003705966007212,0.025399641127370032,0.76,0.9873804818559212,38,50,1.0090971031804856,1.1650904593010645,0.0,0.0,PASS,153,0,True,False,True
Y-states,39,4.038941355227447,3.7695962865659656,0.5386901373229627,0.0,0.7638796192467385,0,50,1.1465921252171083,0.89777415261915,0.0,0.0,PASS,153,0,True,True,True
Y-states,52,4.024520445914601,4.024280820207698,0.00047925141380567027,1.0,0.9997604030010437,50,50,1.1929487003828263,0.9659092723787174,0.0,0.0,PASS,153,0,True,False,True
Y-states,59,8.213024793578736,8.043079649354866,0.33989028844774083,0.06,0.8437110977540742,3,50,1.0371024680523813,2.058328813245079,0.0,0.0,PASS,153,0,True,False,True
Y-states,55,6.045069013032038,5.834904571980603,0.42032888210287034,0.0,0.8104509636033496,0,50,0.8247071082776862,1.1492000567832565,0.0,0.0,PASS,153,0,True,True,True
Y-states,53,4.297701809194016,4.265080024509841,0.06524356936835041,0.5,0.9679045667013044,25,50,0.9148359468891067,1.0284697710244148,0.0,0.0,PASS,153,0,True,False,True
Y-states,54,4.268493538078998,4.252458932897625,0.03206921036274579,0.68,0.9840932647401291,34,50,0.8157136037298407,1.0176266113589951,0.0,0.0,PASS,153,0,True,False,True
Y-states,41,3.2486666174692584,3.2253364315870283,0.04666037176446025,0.62,0.9769398587639447,31,50,1.003534268541335,0.7503455956944418,0.0,0.0,PASS,153,0,True,False,True
Y-states,60,4.6019067732235595,4.572623642542492,0.0585662613621345,0.56,0.9711414655935666,28,50,0.9039206170021428,1.1088873245181434,0.0,0.0,PASS,153,0,True,False,True
Y-states,61,2.8842741027369883,2.8307437720182924,0.10706066143739168,0.38,0.9478771907713662,19,50,1.1694061601410657,0.6737279046148152,0.0,0.0,PASS,153,0,True,False,True
Y-states,63,4.05617692121725,4.044793901357453,0.022766039719593678,0.74,0.9886815215864547,37,50,0.886877024107369,0.8865924852717594,0.0,0.0,PASS,153,0,True,False,True
