test,trial,nll_con,nll_unc,lambda_obs,p_boot,p_wilks,k_exceed,n_boot,chi2_dof_a,chi2_dof_b,dev_dof_a,dev_dof_b,gates,starts_used,optimizer_retries,converged,rejected,pass_trial
Zc-like,8,-33739.43746875505,-33740.880448956654,2.8859604032040806,0.12,0.23622271730068134,6,50,0.7737891976643346,1.0013929463555282,0.7717967675903316,1.0072451267546985,PASS,153,0,True,False,True
Zc-like,13,-33792.62746343383,-33793.874442376706,2.4939578857447486,0.22,0.2873716529704581,11,50,0.9494485643515178,0.9235856636222866,0.9557073089924354,0.9019798046861076,PASS,153,0,True,False,True
Zc-like,30,-33330.23390352934,-33331.3514276108,2.2350481629255228,0.34,0.3270886377164818,17,50,0.9238419233872919,0.8618786911071645,0.9464779894825384,0.8924984500744292,PASS,153,0,True,False,True
Zc-like,21,-32923.77343891037,-32923.86888598745,0.19089415416237898,0.9,0.9089664655392182,45,50,1.2257937295236505,1.1107677044105226,1.1944853954901868,1.0936516147445625,PASS,153,0,True,False,True
Zc-like,26,-33080.54501106278,-33081.68040054885,2.2707789721462177,0.24,0.3212969562711493,12,50,1.2084927048636651,0.8014561652946733,1.213682081608635,0.7821140092407188,PASS,153,0,True,False,True
Zc-like,29,-33755.016182341526,-33757.24131059006,4.450256497075316,0.12,0.10805356003511246,6,50,1.0224129225854293,1.057131240499143,1.023234171788519,1.106855095398904,PASS,153,0,True,False,True
Zc-like,5,-34589.26229069615,-34589.78490822336,1.045235054421937,0.54,0.5929664091460751,27,50,1.1572440690070978,0.993309710795146,1.1595376407095295,1.0217416513997402,PASS,153,0,True,False,True
Zc-like,27,-32645.31165121168,-32645.675018268805,0.7267341142505757,0.8,0.6953311603951975,40,50,1.0966467746381243,0.8398215164489771,1.0977375779267637,0.8587640643122395,PASS,153,0,True,False,True
Zc-like,7,-33390.348840808045,-33390.45850755747,0.21933349885512143,0.84,0.8961327222843054,42,50,0.8700747037003709,1.0538186154522882,0.8586014392214879,1.1032450597154342,PASS,153,0,True,False,True
Zc-like,28,-33581.40639186358,-33583.90554407102,4.998304414883023,0.04,0.08215461918262146,2,50,1.175857027634741,0.8114785803121789,1.1743272757271759,0.7909748943380626,PASS,153,0,True,True,True
Zc-like,19,-32576.847477226143,-32578.05263643869,2.410318425092555,0.32,0.29964428858509473,16,50,1.16684827792506,1.19002539963852,1.1716922050962058,1.222886049595789,PASS,153,0,True,False,True
Zc-like,9,-32733.737443572383,-32734.171009869347,0.8671325939285452,0.76,0.6481933179418542,38,50,1.3274848881545813,0.8773529539222835,1.3099556729741524,0.9200430656000562,PASS,153,0,True,False,True
Zc-like,15,-32765.92141776775,-32766.1522241536,0.4616127717017662,0.78,0.7938931601047728,39,50,0.9999744483979345,0.847370391308325,1.0084287544845563,0.8349565312815257,PASS,153,0,True,False,True
Zc-like,23,-33779.602637272976,-33781.273853040635,3.3424315353186103,0.2,0.18801834001116757,10,50,0.7564997030936863,1.0450098883552321,0.7526513781739557,1.021681533193488,PASS,153,0,True,False,True
Zc-like,16,-33132.71332761095,-33133.64525714952,1.8638590771297459,0.34,0.3937931377845697,17,50,1.1800428569073738,0.8801471962166107,1.1956765189426835,0.8745802968516821,PASS,153,0,True,False,True
Zc-like,25,-33677.83166500278,-33681.29075345802,6.918176910490729,0.0,0.03145842471475557,0,50,0.931577269588786,1.3179488075828447,0.9206068084000781,1.3130769612425792,PASS,153,0,True,True,True
Zc-like,11,-33482.50379405587,-33482.7007702166,0.39395232146489434,0.86,0.8212102101292249,43,50,0.9076070110916397,0.8972087301133771,0.9095870840201538,0.9320618932284637,PASS,153,0,True,False,True
Zc-like,22,-33605.25846127815,-33605.313652353216,0.11038215013104491,0.96,0.9463043155186575,48,50,1.176950585095882,1.1392732480413885,1.170184616232085,1.1161797926365191,PASS,153,0,True,False,True
Zc-like,12,-33381.03072781952,-33381.44462407559,0.8277925121510634,0.68,0.6610695296559082,34,50,0.9264887110907868,1.0584142787344255,0.9327271550918759,1.0938135976086403,PASS,153,0,True,False,True
