Lambda_obs,bootstrap_lambda_mean,bootstrap_lambda_median,bootstrap_lambda_std,bootstrap_n,bootstrap_n_exceeded,bootstrap_n_valid,bootstrap_restarts,chi2_dof_a,chi2_dof_b,converged,dof_diff,fit_converged,gates,identifiable,n_bootstrap,n_restarts,nll_constrained,nll_unconstrained,p_boot,p_wilks,phi_spread,r_spread,rejected,stats_level,test,trial,verdict
0.09460972521649502,1.9859655785970176,1.4549129187643501,2.039033323088751,200,186,200,80,1.0410319744255738,1.140236151174737,True,2,True,PASS,True,200,80,4.88071047032726,4.833405607719013,0.93,0.953796576350359,61.35578780522351,0.16262051278687997,0,1.0,Y-states,23,NOT_REJECTED
0.5109501987055616,1.9372912664468709,1.4958368761667415,1.8899263822334693,200,149,200,80,0.582461789622452,1.4439301488544862,True,2,True,PASS,True,200,80,5.476386191187451,5.220911091834671,0.745,0.7745484230774333,66.28778055542925,0.17279107197707413,0,1.0,Y-states,15,NOT_REJECTED
0.038617947042057565,1.9486631234679106,1.4766782585828047,1.8894677668288544,200,194,200,80,1.3551424722626855,0.8232607513172627,True,2,True,PASS,True,200,80,3.5794194266107686,3.56011045308974,0.97,0.9808762506296357,61.57873239812188,0.16362662963024233,0,1.0,Y-states,27,NOT_REJECTED
0.013972556912282386,1.9551353302959416,1.401703774803174,1.8853485371157028,200,198,200,80,1.1369180404612573,1.3699706681544306,True,2,True,PASS,True,200,80,5.119463790203882,5.112477511747741,0.99,0.9930380688551658,59.89739342037301,0.16197620325503514,0,1.0,Y-states,11,NOT_REJECTED
0.2041825027855113,1.977155356795342,1.4634863641566298,1.9041912661522797,200,174,200,80,0.9312144923075113,0.9352199456052551,True,2,True,PASS,True,200,80,3.911294769118822,3.809203517726066,0.87,0.9029471527241539,57.533697466756045,0.15366687887270872,0,1.0,Y-states,9,NOT_REJECTED
0.21648278860720538,2.005746859561683,1.5725210370118816,1.966876470812281,200,174,200,80,1.166158069783234,0.9901350375312825,True,2,True,PASS,True,200,80,4.3852820204945555,4.277040626190953,0.87,0.8974109403927187,61.974397329738515,0.1608716652140527,0,1.0,Y-states,6,NOT_REJECTED
0.25571658323799795,1.9438662985342767,1.4090577974906857,1.883807541155135,200,169,200,80,0.8698809628352592,1.120016100713183,True,2,True,PASS,True,200,80,4.357804749784875,4.229946458165876,0.845,0.8799780705772225,49.26978278175517,0.1385010123211781,0,1.0,Y-states,13,NOT_REJECTED
0.11421432014227229,1.9754063258562624,1.5567925252017574,1.877916498423729,200,186,200,80,0.9693498626521153,1.2529113749824923,True,2,True,PASS,True,200,80,5.028554768032899,4.971447607961763,0.93,0.944492852022181,62.570539222135,0.17076246343116755,0,1.0,Y-states,22,NOT_REJECTED
0.03156391989432983,1.9837953823815797,1.4940228168879095,1.925772055159369,200,195,200,80,1.119250265291603,0.8674196916031487,True,2,True,PASS,True,200,80,4.200589797285942,4.184807837338777,0.975,0.9843419226232738,53.015203401157606,0.14495821017403257,0,1.0,Y-states,29,NOT_REJECTED
0.033514972262750575,1.9523062533369444,1.529743150215964,1.8769591858363985,200,195,200,80,1.4009402669372073,0.9462682742522043,True,2,True,PASS,True,200,80,4.788059691383868,4.771302205252493,0.975,0.9833821395264248,62.798306775312405,0.16885456325592677,0,1.0,Y-states,12,NOT_REJECTED
0.3775855805165982,1.9324060438431456,1.4765410136201353,1.8762663216474194,200,159,200,80,0.7848616580208233,0.8525567704951313,True,2,True,PASS,True,200,80,3.3647265050422357,3.1759337147839366,0.795,0.8279580498950667,55.31805174892517,0.14950578153096397,0,1.0,Y-states,30,NOT_REJECTED
0.5224601297155758,2.009558076506259,1.5974094906889533,1.9061783748811711,200,150,200,80,0.718072546503551,1.305903927852075,True,2,True,PASS,True,200,80,4.843485274111575,4.582255209253787,0.75,0.7701037254287104,66.25313444279949,0.17640094252441332,0,1.0,Y-states,25,NOT_REJECTED
0.07446857237498428,1.9470835266477764,1.4563905706129887,1.9089211946671838,200,190,200,80,0.9527013363685846,0.9171097327244114,True,2,True,PASS,True,200,80,4.198820068411519,4.1615857822240265,0.95,0.9634503857873601,58.83337082879561,0.1597012794998368,0,1.0,Y-states,28,NOT_REJECTED
0.18649782743842103,1.9407987626476921,1.453832627793986,1.8772625020216154,200,179,200,80,1.256857940868075,0.7912171197341624,True,2,True,PASS,True,200,80,3.840803409084174,3.7475544953649633,0.895,0.9109667199586009,54.533886332510974,0.14879944290734792,0,1.0,Y-states,2,NOT_REJECTED
0.07689695087593407,1.9284142797039676,1.4791937928542325,1.8774307588290007,200,187,200,80,1.1078921174009855,0.7304852625660764,True,2,True,PASS,True,200,80,3.184606181117048,3.146157705679081,0.935,0.9622812845842574,62.88590017294381,0.1749900976535751,0,1.0,Y-states,16,NOT_REJECTED
0.08590287728246793,1.9592650418168511,1.4505313594235787,1.8813145359998578,200,187,200,80,0.809076637150213,0.9367972592828069,True,2,True,PASS,True,200,80,3.1067405354457525,3.0637890968045185,0.935,0.957957908675204,61.49416467585555,0.16419667615763797,0,1.0,Y-states,5,NOT_REJECTED
0.005210344797964339,1.9631163781142924,1.5246501134835455,1.8973963096033006,200,200,200,80,1.3930263690938953,0.6901110929122624,True,2,True,PASS,True,200,80,3.640273513756882,3.6376683413579,1.0,0.9973982181176995,54.767599378096556,0.1498266051857562,0,1.0,Y-states,3,NOT_REJECTED
0.38447946635795116,1.9770416048503807,1.5406703345492865,1.9088703106923635,200,162,200,80,0.8271232478031274,1.012592138433501,True,2,True,PASS,True,200,80,2.8249355580225,2.6326958248435246,0.81,0.8251090387665904,49.758470031451225,0.13892353113632466,0,1.0,Y-states,19,NOT_REJECTED
0.11629352685421601,1.9376539843453846,1.5421451321399928,1.8788936514103127,200,183,200,80,1.02033753246663,1.0347439200911708,True,2,True,PASS,True,200,80,5.16479194904447,5.106645185617362,0.915,0.9435114642989009,60.249429114009395,0.1655485170033146,0,1.0,Y-states,1,NOT_REJECTED
0.03844940813614883,1.9408939171658262,1.4030205849191688,1.8961539497096518,200,194,200,80,1.327806328174607,0.8087679363166211,True,2,True,PASS,True,200,80,4.098201298035656,4.078976593967582,0.97,0.9809589120175581,54.810444879054046,0.14781081069526328,0,1.0,Y-states,17,NOT_REJECTED
0.08670238864097524,2.099183251320352,1.5259558780305298,2.244997730192307,200,190,200,80,1.0519789768611283,0.7708552723835217,True,2,True,PASS,True,200,80,2.9912792241249337,2.947928029804446,0.95,0.9575750360935684,60.466715654196264,0.16293142557576556,0,1.0,Y-states,20,NOT_REJECTED
0.05577224738895392,1.9855377496373154,1.5389107413194871,1.9139814324587667,200,192,200,80,1.1728494173015052,0.720937138786568,True,2,True,PASS,True,200,80,2.803144277456181,2.7752581537617043,0.96,0.9724991051011064,63.10609668580251,0.16425940993661295,0,1.0,Y-states,26,NOT_REJECTED
0.019298650457452382,1.9736877248402533,1.454208647760936,1.9135057954430923,200,196,200,80,1.0607350460067047,0.9866977996116042,True,2,True,PASS,True,200,80,4.699666565718537,4.69001724048981,0.98,0.9903970801298818,56.01907712939043,0.15101703598881458,0,1.0,Y-states,0,NOT_REJECTED
0.06741527119908053,1.9855030395392566,1.38696766314888,1.9386267917931903,200,192,200,80,0.8703973473405799,1.0280846621988124,True,2,True,PASS,True,200,80,3.662194434775601,3.6284867991760605,0.96,0.9668541370497761,53.706110441169855,0.14168383139603694,0,1.0,Y-states,21,NOT_REJECTED
0.39600541247693677,1.975984828481876,1.4960731062370343,1.9137875002368039,200,158,200,80,1.4679475219731506,0.8284988285208085,True,2,True,PASS,True,200,80,4.540204554483944,4.342201848245476,0.79,0.8203676330243802,63.31600749444809,0.16687824699233975,0,1.0,Y-states,14,NOT_REJECTED
0.03819953456162395,1.9451780800119738,1.4927960388092174,1.8759352742845867,200,195,200,80,1.2808127085195813,1.0416807267921648,True,2,True,PASS,True,200,80,4.708353651992901,4.689253884712089,0.975,0.9810814775287733,59.63952465496191,0.15797670789129736,0,1.0,Y-states,7,NOT_REJECTED
0.32119038673350353,2.0027804075277817,1.459205611931047,1.9469073496500162,200,165,200,80,0.9853712256141589,1.3336875937248378,True,2,True,PASS,True,200,80,5.247089794091177,5.086494600724425,0.825,0.8516367495437188,58.93455697221034,0.1614386228596748,0,1.0,Y-states,24,NOT_REJECTED
