#: table_doi: 10.17182/hepdata.51824.v1/t4
#: name: Table 4
#: description: Measured cross section for E+ E- --> OMEGA F0(975) with statistical errors only.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> OMEGA F0(975)
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 1.7-2.475
#: RE,,,E+ E- --> OMEGA F0(975)
#: SQRT(S) [GeV],,,1.7-2.475
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG [NB],error +,error -
1.7,1.6875,1.7125,0.02,0.14,-0.14
1.725,1.7125,1.7375,0.02,0.14,-0.14
1.75,1.7375,1.7625,0.1,0.18,-0.18
1.775,1.7625,1.7875,0.79,0.17,-0.17
1.8,1.7875,1.8125,0.89,0.2,-0.2
1.825,1.8125,1.8375,0.91,0.17,-0.17
1.85,1.8375,1.8625,0.45,0.16,-0.16
1.875,1.8625,1.8875,0.46,0.16,-0.16
1.9,1.8875,1.9125,0.51,0.18,-0.18
1.925,1.9125,1.9375,0.48,0.16,-0.16
1.95,1.9375,1.9625,0.32,0.15,-0.15
1.975,1.9625,1.9875,0.42,0.15,-0.15
2.0,1.9875,2.0125,0.17,0.12,-0.12
2.0250000000000004,2.0125,2.0375,0.34,0.12,-0.12
2.05,2.0375,2.0625,0.27,0.1,-0.1
2.075,2.0625,2.0875,0.27,0.12,-0.12
2.0999999999999996,2.0875,2.1125,0.39,0.11,-0.11
2.125,2.1125,2.1375,0.18,0.11,-0.11
2.1500000000000004,2.1375,2.1625,0.31,0.11,-0.11
2.175,2.1625,2.1875,0.14,0.1,-0.1
2.2,2.1875,2.2125,0.17,0.09,-0.09
2.2249999999999996,2.2125,2.2375,0.11,0.11,-0.11
2.25,2.2375,2.2625,0.03,0.09,-0.09
2.2750000000000004,2.2625,2.2875,0.02,0.08,-0.08
2.3,2.2875,2.3125,0.06,0.07,-0.07
2.325,2.3125,2.3375,0.15,0.06,-0.06
2.3499999999999996,2.3375,2.3625,0.02,0.05,-0.05
2.375,2.3625,2.3875,0.03,0.05,-0.05
2.4000000000000004,2.3875,2.4125,0.06,0.05,-0.05
2.425,2.4125,2.4375,0.07,0.05,-0.05
2.45,2.4375,2.4625,0.01,0.04,-0.04
2.4749999999999996,2.4625,2.4875,0.01,0.05,-0.05

