# Belle arXiv:1512.07419 - B*B*π channel
# Mmiss(π) distribution, bin width = 5 MeV/c²
# RS = Right-Sign (signal+background), WS = Wrong-Sign (background)
# Signal = RS - WS (background-subtracted)
m_low_MeV,m_high_MeV,m_center_MeV,RS,RS_err,WS,WS_err,efficiency,signal,signal_err
10635.0,10640.0,10637.5,1.0,1.0,0.0,1.1,1.084,1.0,1.49
10640.0,10645.0,10642.5,11.0,3.3,0.0,1.1,1.089,11.0,3.48
10645.0,10650.0,10647.5,21.0,4.6,10.8,3.6,1.091,10.2,5.84
10650.0,10655.0,10652.5,55.0,7.4,9.6,3.4,1.089,45.4,8.14
10655.0,10660.0,10657.5,45.0,6.7,32.2,6.2,1.082,12.8,9.13
10660.0,10665.0,10662.5,46.0,6.8,33.4,6.3,1.070,12.6,9.27
10665.0,10670.0,10667.5,51.0,7.1,40.5,6.9,1.051,10.5,9.90
10670.0,10675.0,10672.5,43.0,6.6,21.4,5.0,1.025,21.6,8.28
10675.0,10680.0,10677.5,32.0,5.7,27.5,5.7,0.991,4.5,8.06
10680.0,10685.0,10682.5,21.0,4.6,16.7,4.4,0.946,4.3,6.37
10685.0,10690.0,10687.5,18.0,4.2,16.7,4.4,0.891,1.3,6.08
10690.0,10695.0,10692.5,20.0,4.5,14.3,4.1,0.821,5.7,6.09
10695.0,10700.0,10697.5,11.0,3.3,15.5,4.3,0.735,-4.5,5.42
10700.0,10705.0,10702.5,9.0,3.0,7.1,2.9,0.629,1.9,4.17
10705.0,10710.0,10707.5,5.0,2.2,3.6,2.1,0.495,1.4,3.04
10710.0,10715.0,10712.5,5.0,2.2,2.4,1.7,0.322,2.6,2.78
10715.0,10720.0,10717.5,1.0,1.0,0.0,1.1,0.056,1.0,1.49
