# Belle arXiv:1512.07419 - BB*π channel
# Mmiss(π) distribution, bin width = 5 MeV/c²
# RS = Right-Sign (signal+background), WS = Wrong-Sign (background)
# Signal = RS - WS (background-subtracted)
m_low_MeV,m_high_MeV,m_center_MeV,RS,RS_err,WS,WS_err,efficiency,signal,signal_err
10590.0,10595.0,10592.5,1.0,1.0,2.3,1.7,0.937,-1.3,1.97
10595.0,10600.0,10597.5,15.0,3.9,4.7,2.4,0.958,10.3,4.58
10600.0,10605.0,10602.5,38.0,6.2,14.3,4.1,0.979,23.7,7.43
10605.0,10610.0,10607.5,64.0,8.0,28.6,5.8,0.999,35.4,9.88
10610.0,10615.0,10612.5,81.0,9.0,46.4,7.4,1.017,34.6,11.65
10615.0,10620.0,10617.5,75.0,8.7,48.8,7.6,1.034,26.2,11.55
10620.0,10625.0,10622.5,81.0,9.0,45.2,7.3,1.050,35.8,11.59
10625.0,10630.0,10627.5,65.0,8.1,41.7,7.0,1.064,23.3,10.71
10630.0,10635.0,10632.5,47.0,6.9,44.1,7.2,1.075,2.9,9.97
10635.0,10640.0,10637.5,45.0,6.7,23.8,5.3,1.084,21.2,8.54
10640.0,10645.0,10642.5,39.0,6.2,35.7,6.5,1.089,3.3,8.98
10645.0,10650.0,10647.5,43.0,6.6,39.3,6.8,1.091,3.7,9.48
10650.0,10655.0,10652.5,40.0,6.3,34.5,6.4,1.089,5.5,8.98
10655.0,10660.0,10657.5,31.0,5.6,26.2,5.6,1.082,4.8,7.92
10660.0,10665.0,10662.5,35.0,5.9,30.9,6.1,1.070,4.1,8.49
10665.0,10670.0,10667.5,40.0,6.3,29.8,5.9,1.051,10.2,8.63
10670.0,10675.0,10672.5,27.0,5.2,19.0,4.7,1.025,8.0,7.01
10675.0,10680.0,10677.5,34.0,5.8,29.8,5.9,0.991,4.2,8.27
10680.0,10685.0,10682.5,26.0,5.1,27.4,5.7,0.946,-1.4,7.65
10685.0,10690.0,10687.5,32.0,5.7,20.2,4.9,0.891,11.8,7.52
10690.0,10695.0,10692.5,17.0,4.1,9.5,3.4,0.821,7.5,5.33
10695.0,10700.0,10697.5,18.0,4.2,17.8,4.6,0.735,0.2,6.23
10700.0,10705.0,10702.5,8.0,2.8,9.5,3.4,0.629,-1.5,4.40
10705.0,10710.0,10707.5,8.0,2.8,10.7,3.6,0.495,-2.7,4.56
10710.0,10715.0,10712.5,6.0,2.4,5.9,2.7,0.322,0.1,3.61
10715.0,10720.0,10717.5,2.0,1.4,0.0,1.1,0.056,2.0,1.78
