E_GeV,sigma_pb,stat_err,syst_err,total_err
4.0076,40.30,5.90,2.90,6.57
4.0330,36.40,10.50,2.60,10.82
4.0854,71.90,3.70,4.70,5.98
4.1285,104.30,4.70,6.70,8.18
4.1574,127.90,4.90,8.20,9.55
4.1780,110.70,3.90,7.20,8.19
4.1889,104.60,3.50,6.80,7.65
4.1989,100.90,3.00,6.50,7.16
4.2092,103.90,2.50,6.70,7.15
4.2187,109.90,2.80,7.10,7.63
4.2263,116.90,2.10,7.60,7.88
4.2358,88.60,2.40,5.80,6.28
4.2439,79.80,2.50,5.30,5.86
4.2580,75.90,1.50,4.90,5.12
4.2668,72.70,2.20,4.80,5.28
4.2780,65.90,2.10,4.40,4.88
4.2879,69.90,2.00,4.60,5.02
4.3079,62.90,1.70,4.10,4.44
4.3121,60.50,2.30,4.00,4.61
4.3374,56.70,2.00,3.80,4.29
4.3583,52.30,1.60,3.50,3.85
4.3774,51.70,1.50,3.50,3.81
4.3964,48.30,1.00,3.20,3.35
4.4156,47.90,1.30,3.20,3.45
4.4367,46.80,1.40,3.20,3.49
4.4671,44.10,2.60,3.10,4.05
4.5271,32.30,2.20,2.30,3.18
4.5745,26.20,1.20,1.90,2.25
4.5995,20.90,1.00,1.60,1.89
4.6120,19.30,0.90,1.50,1.75
4.6280,17.60,0.90,1.40,1.66
4.6410,16.90,0.70,1.30,1.48
4.6612,14.90,0.70,1.20,1.39
4.6818,13.10,0.70,1.10,1.30
4.6989,12.20,0.60,1.00,1.17
