mass_GeV,counts,stat_err
7.0000,93,9.6437
7.1020,93,9.6437
7.2041,69,8.3066
7.3061,73,8.5440
7.4082,93,9.6437
7.5102,80,8.9443
7.6122,72,8.4853
7.7143,70,8.3666
7.8163,59,7.6811
7.9184,57,7.5498
8.0204,68,8.2462
8.1224,70,8.3666
8.2245,59,7.6811
8.3265,54,7.3485
8.4286,57,7.5498
8.5306,46,6.7823
8.6327,39,6.2450
8.7347,47,6.8557
8.8367,47,6.8557
8.9388,47,6.8557
9.0408,74,8.6023
9.1429,137,11.7047
9.2449,357,18.8944
9.3469,484,22.0000
9.4490,497,22.2935
9.5510,326,18.0555
9.6531,141,11.8743
9.7551,61,7.8102
9.8571,23,4.7958
9.9592,17,4.1231
10.0612,28,5.2915
10.1633,18,4.2426
10.2653,28,5.2915
10.3673,8,2.8284
10.4694,9,3.0000
10.5714,21,4.5826
10.6735,24,4.8990
10.7755,17,4.1231
10.8776,16,4.0000
10.9796,18,4.2426
11.0816,15,3.8730
11.1837,13,3.6056
11.2857,12,3.4641
11.3878,11,3.3166
11.4898,20,4.4721
11.5918,4,2.0000
11.6939,5,2.2361
11.7959,13,3.6056
11.8980,11,3.3166
12.0000,6,2.4495
