mass_GeV,counts,stat_err
7.0000,83,9.1104
7.1020,79,8.8882
7.2041,74,8.6023
7.3061,66,8.1240
7.4082,64,8.0000
7.5102,81,9.0000
7.6122,58,7.6158
7.7143,66,8.1240
7.8163,53,7.2801
7.9184,56,7.4833
8.0204,59,7.6811
8.1224,64,8.0000
8.2245,30,5.4772
8.3265,49,7.0000
8.4286,37,6.0828
8.5306,52,7.2111
8.6327,44,6.6332
8.7347,42,6.4807
8.8367,39,6.2450
8.9388,50,7.0711
9.0408,56,7.4833
9.1429,93,9.6437
9.2449,176,13.2665
9.3469,295,17.1756
9.4490,347,18.6279
9.5510,301,17.3494
9.6531,183,13.5277
9.7551,94,9.6954
9.8571,50,7.0711
9.9592,28,5.2915
10.0612,27,5.1962
10.1633,23,4.7958
10.2653,22,4.6904
10.3673,25,5.0000
10.4694,18,4.2426
10.5714,24,4.8990
10.6735,15,3.8730
10.7755,19,4.3589
10.8776,17,4.1231
10.9796,16,4.0000
11.0816,13,3.6056
11.1837,17,4.1231
11.2857,12,3.4641
11.3878,18,4.2426
11.4898,14,3.7417
11.5918,16,4.0000
11.6939,13,3.6056
11.7959,16,4.0000
11.8980,6,2.4495
12.0000,15,3.8730
