#: table_doi: 10.17182/hepdata.60421.v1/t2
#: name: Table 2
#: description: Ratio between the total X(3872) and PSI(2S) cross sections times branching fractions with (R) and without (R_fiducial) acceptance corrections.

#: data_file: Table2.yaml
#: keyword reactions: P P --> X(3872) X | P P --> PSI(2S) X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | J/Psi | Integrated Cross Section | Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP,,,-1.2-1.2
#: RE(PSI(2S)),,,P P --> PSI(2S) < J/PSI PI+ PI- > X
#: RE(X(3862)),,,P P --> X(3862) < J/PSI PI+ PI- > X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,R_fiducual,stat +,stat -,sys +,sys -
30.0,10.0,50.0,0.0694,0.0029,-0.0029,0.0036,-0.0036

#: ETARAP,,,-1.2-1.2
#: RE(PSI(2S)),,,P P --> PSI(2S) < J/PSI PI+ PI- > X
#: RE(X(3862)),,,P P --> X(3862) < J/PSI PI+ PI- > X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,R,stat +,stat -,sys +,sys -
30.0,10.0,50.0,0.0656,0.0029,-0.0029,0.0065,-0.0065

