#: table_doi: 10.17182/hepdata.71501.v1/t1
#: name: Table 1
#: description: Measured $e^+e^- \to \pi^+\pi^-\psi(2S)$ cross section for center of mass energy ($E_{\rm cm}$) from 4.0 GeV/$c^2$ to 5.5 GeV/$c^2$. The errors are the sums of statistical errors of signal and background events and the systematic errors.

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI+ PI- PSI(2S)
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 4.0-5.5
#: RE,E+ E- --> PI+ PI- PSI(2S)
#: SQRT(S) [GeV],4.0-5.5
$E_{\rm cm}$ [GeV],Cross section [pb],error +,error -
4.01,-19.1,31.4,-31.4
4.03,-15.3,24.9,-24.9
4.05,-12.8,20.7,-20.7
4.07,-11.0,17.8,-17.8
4.09,-9.7,15.7,-15.7
4.11,-0.5,12.9,-12.9
4.13,-0.5,11.7,-11.7
4.15,-0.5,10.7,-10.7
4.17,5.9,9.0,-9.0
4.19,5.4,11.0,-11.0
4.21,-6.0,9.4,-9.4
4.23,20.4,11.7,-11.7
4.25,29.2,13.1,-13.1
4.27,8.9,9.9,-9.9
4.29,26.5,11.9,-11.9
4.31,25.3,11.4,-11.4
4.33,61.5,16.5,-16.5
4.35,67.1,16.9,-16.9
4.37,80.1,18.0,-18.0
4.39,40.4,12.9,-12.9
4.41,42.7,13.0,-13.0
4.43,31.0,11.0,-11.0
4.45,9.7,6.8,-6.8
4.47,12.8,7.4,-7.4
4.49,6.0,5.6,-5.6
4.51,18.4,8.4,-8.4
4.53,14.9,7.6,-7.6
4.55,5.5,5.2,-5.2
4.57,-0.5,4.6,-4.6
4.59,8.2,5.8,-5.8
4.61,10.9,6.4,-6.4
4.63,33.0,10.2,-10.2
4.65,29.7,9.6,-9.6
4.67,37.3,10.6,-10.6
4.69,34.1,10.1,-10.1
4.71,20.4,7.9,-7.9
4.73,22.7,8.2,-8.2
4.75,9.6,5.7,-5.7
4.77,14.5,6.7,-6.7
4.79,9.4,5.6,-5.6
4.81,4.3,5.2,-5.2
4.83,1.9,4.5,-4.5
4.85,6.6,4.8,-4.8
4.87,6.5,4.7,-4.7
4.89,11.1,5.7,-5.7
4.91,6.3,4.6,-4.6
4.93,4.0,4.0,-4.0
4.95,-2.8,3.8,-3.8
4.97,1.6,4.1,-4.1
4.99,6.0,4.4,-4.4
5.01,3.7,4.6,-4.6
5.03,10.1,5.3,-5.3
5.05,5.8,4.3,-4.3
5.07,3.6,3.6,-3.6
5.09,3.5,3.6,-3.6
5.11,-2.6,3.5,-3.5
5.13,-2.6,3.4,-3.4
5.15,7.4,4.5,-4.5
5.17,7.3,4.4,-4.4
5.19,5.2,3.9,-3.9
5.21,-0.6,3.0,-3.0
5.23,5.0,3.8,-3.8
5.25,10.5,5.0,-5.0
5.27,-0.6,2.9,-2.9
5.29,1.2,2.6,-2.6
5.31,6.5,4.0,-4.0
5.33,-0.6,2.7,-2.7
5.35,4.6,4.0,-4.0
5.37,-0.6,2.6,-2.6
5.39,2.7,2.9,-2.9
5.41,-0.6,2.6,-2.6
5.43,2.6,3.4,-3.4
5.45,4.1,3.2,-3.2
5.47,5.6,3.5,-3.5
5.49,-0.6,2.4,-2.4

