#: table_doi: 10.17182/hepdata.73771.v1/t1
#: name: Table 1
#: description: Efficiencies, yields, $R=\frac{\sigma(e^+e^-\to\pi^0 Z_c(3900)^{0}\to\pi^0\pi^0 J/\psi)}{\sigma(e^+e^-\to\pi^0\pi^0 J/\psi)}$, and $\pi^0\pi^0 J/\psi$ Born cross sections at each energy point. For $N(Z_c^0)$ and $N(\pi^0\pi^0 J/\psi)$ errors and upper limits are statistical only. For $R$ and $\sigma_{\rm Born}$, the first errors and statistical and second errors are systematic. The statistical uncertainties on the efficiencies are negligible. Upper limits of $R$ (90$\%$ confidence level) include systematic errors.

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI0 PI0 J/PSI
#: keyword observables: EFF | N | SIG | SIG/SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 4.19-4.42
#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\mathcal L$ [pb$^{-1}$]
4.19,43.1
4.21,54.6
4.22,54.1
4.23,1091.7
4.245,55.6
4.26,825.7
4.31,44.9
4.36,539.8
4.39,55.2
4.42,44.7

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\epsilon(Z_c^0)$ [$\%$]
4.19,20.8
4.21,21.5
4.22,21.6
4.23,22.0
4.245,22.3
4.26,22.6
4.31,22.5
4.36,21.5
4.39,21.4
4.42,21.7

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\epsilon_{1}(\pi^0\pi^0 J/\psi)$ [$\%$]
4.19,20.4
4.21,21.0
4.22,21.2
4.23,21.1
4.245,21.6
4.26,21.2
4.31,20.4
4.36,18.8
4.39,17.7
4.42,16.8

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\epsilon_{2}(\pi^0\pi^0 J/\psi)$ [$\%$]
4.19,20.1
4.21,20.8
4.22,20.8
4.23,21.0
4.245,21.1
4.26,21.4
4.31,20.7
4.36,19.1
4.39,18.4
4.42,17.9

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\epsilon(\pi^0\pi^0 J/\psi)$ [$\%$]
4.19,20.2
4.21,20.9
4.22,21.1
4.23,21.0
4.245,21.5
4.26,21.2
4.31,20.5
4.36,18.9
4.39,17.7
4.42,16.8

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$N(Z_c^0)$ ($90\%$ C.L.),error +,error -
4.19,<11.1,0,0
4.21,<18.9,0,0
4.22,<12.6,0,0
4.23,236.8,25.0,-25.0
4.245,<15.2,0,0
4.26,73.1,16.5,-16.5
4.31,<7.9,0,0
4.36,41.8,10.8,-10.8
4.39,<5.2,0,0
4.42,<3.8,0,0

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$N(\pi^0\pi^0 J/\psi)$,error +,error -
4.19,8.2,3.0,-3.0
4.21,26.6,5.4,-5.4
4.22,31.9,5.7,-5.7
4.23,825.1,29.8,-29.8
4.245,49.0,7.1,-7.1
4.26,507.3,23.4,-23.4
4.31,25.5,5.1,-5.1
4.36,182.8,14.2,-14.2
4.39,6.2,2.6,-2.6
4.42,2.9,2.1,-2.1

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$R$,stat +,stat -,sys +,sys -
4.19,0.71,0.45,-0.45,0.04,-0.04
4.21,0.42,0.21,-0.21,0.03,-0.03
4.22,0.18,0.14,-0.14,0.02,-0.02
4.23,0.28,0.03,-0.03,0.02,-0.02
4.245,0.15,0.1,-0.1,0.02,-0.02
4.26,0.14,0.03,-0.03,0.01,-0.01
4.31,0.07,0.12,-0.12,0.01,-0.01
4.36,0.2,0.05,-0.05,0.02,-0.02
4.39,0.0,1.02,-1.02,0.0,-0.0
4.42,0.0,0.56,-0.56,0.0,-0.0

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$R$ ($90\%$ C.L.)
4.19,<1.0
4.21,<0.72
4.22,<0.41
4.23,-
4.245,<0.32
4.26,-
4.31,<0.29
4.36,-
4.39,<0.71
4.42,<1.0

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$1+\delta$
4.19,0.828
4.21,0.813
4.22,0.81
4.23,0.805
4.245,0.806
4.26,0.815
4.31,0.916
4.36,1.038
4.39,1.088
4.42,1.132

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$1+\delta^{vac}$
4.19,1.056
4.21,1.057
4.22,1.057
4.23,1.056
4.245,1.056
4.26,1.054
4.31,1.052
4.36,1.051
4.39,1.051
4.42,1.053

#: RE,E+ E- --> PI0 PI0 J/PSI
#: SQRT(S) [GeV],4.19-4.42
${E_{\rm cm}}$ [GeV],$\sigma_{Born}$ [pb],stat +,stat -,sys +,sys -
4.19,9.0,3.3,-3.3,0.6,-0.6
4.21,22.7,4.6,-4.6,1.5,-1.5
4.22,27.4,4.9,-4.9,1.8,-1.8
4.23,35.4,1.3,-1.3,2.2,-2.2
4.245,40.3,5.8,-5.8,2.7,-2.7
4.26,28.3,1.3,-1.3,1.8,-1.8
4.31,24.1,4.9,-4.9,1.6,-1.6
4.36,13.8,1.1,-1.1,0.9,-0.9
4.39,4.7,1.9,-1.9,0.3,-0.3
4.42,2.7,1.9,-1.9,0.2,-0.2

