#: table_doi: 10.17182/hepdata.113470.v1/t1
#: name: Fig 1
#: description: Distribution of $D^0 D^0 \pi^+$ mass where the contribution of the non-$D^0$ background has been statistically subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_1.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0 \pi^+}$ [GEV],$m_{D^0 D^0 \pi^+}$ [GEV] LOW,$m_{D^0 D^0 \pi^+}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
3.87125,3.871,3.8715,0.98259,0.98259,-0.98259
3.87225,3.872,3.8725,0.94201,0.94201,-0.94201
3.87275,3.8725,3.873,-0.39728,0.39728,-0.39728
3.87325,3.873,3.8735,2.416,1.61382,-1.61382
3.8737500000000002,3.8735,3.874,2.24996,1.59134,-1.59134
3.87425,3.874,3.8745,14.99021,4.07927,-4.07927
3.8747499999999997,3.8745,3.875,49.90962,7.50035,-7.50035
3.8752500000000003,3.875,3.8755,20.59526,4.99569,-4.99569
3.87575,3.8755,3.876,10.90579,3.55721,-3.55721
3.8762499999999998,3.876,3.8765,8.29965,3.03986,-3.03986
3.87675,3.8765,3.877,7.96751,2.97109,-2.97109
3.87725,3.877,3.8775,6.19034,2.75919,-2.75919
3.87775,3.8775,3.878,6.25549,2.64061,-2.64061
3.87825,3.878,3.8785,5.92648,3.22836,-3.22836
3.87875,3.8785,3.879,8.75937,2.9074,-2.9074
3.87925,3.879,3.8795,3.16666,1.92388,-1.92388
3.87975,3.8795,3.88,3.46311,2.65775,-2.65775
3.88025,3.88,3.8805,2.9465,2.275,-2.275
3.88075,3.8805,3.881,5.33952,2.65419,-2.65419
3.8812499999999996,3.881,3.8815,3.47564,2.83567,-2.83567
3.8817500000000003,3.8815,3.882,8.24576,3.35008,-3.35008
3.88225,3.882,3.8825,2.72161,2.03089,-2.03089
3.8827499999999997,3.8825,3.883,8.99575,3.06818,-3.06818
3.8832500000000003,3.883,3.8835,10.57157,3.4877,-3.4877
3.88375,3.8835,3.884,9.64679,3.44558,-3.44558
3.8842499999999998,3.884,3.8845,4.46762,2.75155,-2.75155
3.88475,3.8845,3.885,6.52827,3.14364,-3.14364
3.88525,3.885,3.8855,2.83937,2.36384,-2.36384
3.88575,3.8855,3.886,4.67296,2.70638,-2.70638
3.88625,3.886,3.8865,5.38269,2.79798,-2.79798
3.88675,3.8865,3.887,7.81879,3.07708,-3.07708
3.88725,3.887,3.8875,7.60814,2.90429,-2.90429
3.88775,3.8875,3.888,6.69582,2.91918,-2.91918
3.88825,3.888,3.8885,7.62466,3.13844,-3.13844
3.88875,3.8885,3.889,10.87914,3.46545,-3.46545
3.8892499999999997,3.889,3.8895,3.23346,2.61822,-2.61822
3.8897500000000003,3.8895,3.89,7.31497,3.14126,-3.14126
3.89025,3.89,3.8905,0.24026,2.80507,-2.80507
3.8907499999999997,3.8905,3.891,9.91521,3.64031,-3.64031
3.8912500000000003,3.891,3.8915,5.84158,2.71579,-2.71579
3.89175,3.8915,3.892,12.28863,4.39106,-4.39106
3.8922499999999998,3.892,3.8925,7.37776,3.07348,-3.07348
3.89275,3.8925,3.893,5.3366,3.0931,-3.0931
3.89325,3.893,3.8935,0.20278,2.96833,-2.96833
3.89375,3.8935,3.894,7.42926,3.5556,-3.5556
3.89425,3.894,3.8945,15.72794,4.29047,-4.29047
3.89475,3.8945,3.895,7.21916,3.46244,-3.46244
3.89525,3.895,3.8955,8.14348,3.47513,-3.47513
3.89575,3.8955,3.896,13.93615,4.34802,-4.34802
3.89625,3.896,3.8965,8.65875,3.33768,-3.33768
3.89675,3.8965,3.897,7.62622,3.10434,-3.10434
3.8972499999999997,3.897,3.8975,7.61831,3.13799,-3.13799
3.8977500000000003,3.8975,3.898,6.87976,3.57329,-3.57329
3.89825,3.898,3.8985,4.63632,3.23274,-3.23274
3.8987499999999997,3.8985,3.899,8.98105,3.67436,-3.67436
3.8992500000000003,3.899,3.8995,2.4861,3.10612,-3.10612
3.89975,3.8995,3.9,3.92134,2.64661,-2.64661

