#: table_doi: 10.17182/hepdata.113470.v1/t2
#: name: Fig 3
#: description: Mass distribution for $D^0 \pi^+$ pairs from selected $D^0 D^0 \pi^+$ candidates with a mass below the $D^{*+}D^0$ mass threshold with non-$D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_3.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 \pi^+}$ [GEV],$m_{D^0 \pi^+}$ [GEV] LOW,$m_{D^0 \pi^+}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
2.0049599999999996,2.00486,2.00506,1.01969,1.01969,-1.01969
2.00516,2.00506,2.00526,0.98259,0.98259,-0.98259
2.00556,2.00546,2.00566,1.12792,0.99328,-0.99328
2.0057600000000004,2.00566,2.00586,1.13906,1.13906,-1.13906
2.00596,2.00586,2.00606,1.397,1.64847,-1.64847
2.0061600000000004,2.00606,2.00626,0.94201,0.94201,-0.94201
2.00636,2.00626,2.00646,1.01969,1.01969,-1.01969
2.0065600000000003,2.00646,2.00666,5.32537,2.38582,-2.38582
2.00676,2.00666,2.00686,2.44831,1.63542,-1.63542
2.0069600000000003,2.00686,2.00706,2.99423,1.76571,-1.76571
2.00716,2.00706,2.00726,4.48573,2.2443,-2.2443
2.00756,2.00746,2.00766,2.06225,1.45962,-1.45962
2.00776,2.00766,2.00786,7.91219,2.90523,-2.90523
2.0079599999999997,2.00786,2.00806,2.78267,1.64379,-1.64379
2.00816,2.00806,2.00826,6.8401,2.79588,-2.79588
2.0083599999999997,2.00826,2.00846,11.20754,3.52249,-3.52249
2.00856,2.00846,2.00866,7.48574,3.05128,-3.05128
2.0087599999999997,2.00866,2.00886,10.55701,3.54764,-3.54764
2.00896,2.00886,2.00906,8.17506,2.94746,-2.94746
2.0091599999999996,2.00906,2.00926,18.05877,4.43516,-4.43516
2.00936,2.00926,2.00946,17.8501,4.48529,-4.48529
2.0095599999999996,2.00946,2.00966,20.42439,4.81641,-4.81641
2.00976,2.00966,2.00986,8.6847,3.15889,-3.15889
2.0099600000000004,2.00986,2.01006,4.65724,2.33174,-2.33174
2.01016,2.01006,2.01026,0.97205,0.97205,-0.97205

