#: table_doi: 10.17182/hepdata.113470.v1/t3
#: name: Fig 4a
#: description: $D^0 D^0$~mass distributions for selected candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_4a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0}$ [GEV],$m_{D^0 D^0}$ [GEV] LOW,$m_{D^0 D^0}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
3.7299100000000003,3.72966,3.73016,91.87349,10.9283,-10.9283
3.73041,3.73016,3.73066,83.91322,10.09399,-10.09399
3.7309099999999997,3.73066,3.73116,43.65984,7.56082,-7.56082
3.7314100000000003,3.73116,3.73166,32.40545,7.04464,-7.04464
3.73191,3.73166,3.73216,22.15956,5.96124,-5.96124
3.73241,3.73216,3.73266,24.21192,6.23716,-6.23716
3.73291,3.73266,3.73316,22.38146,5.86442,-5.86442
3.73341,3.73316,3.73366,16.05066,5.04366,-5.04366
3.73391,3.73366,3.73416,20.61709,6.13362,-6.13362
3.73441,3.73416,3.73466,17.76958,5.61089,-5.61089
3.73491,3.73466,3.73516,15.275,5.62786,-5.62786
3.73541,3.73516,3.73566,6.41135,4.37821,-4.37821
3.73591,3.73566,3.73616,14.74418,5.82793,-5.82793
3.7364100000000002,3.73616,3.73666,16.74665,5.71201,-5.71201
3.73691,3.73666,3.73716,17.8299,5.69568,-5.69568
3.7374099999999997,3.73716,3.73766,11.3512,5.36071,-5.36071
3.7379100000000003,3.73766,3.73816,33.12155,6.79023,-6.79023
3.73841,3.73816,3.73866,18.3281,6.17545,-6.17545
3.7389099999999997,3.73866,3.73916,20.66652,6.29821,-6.29821
3.7394100000000003,3.73916,3.73966,20.65011,5.97506,-5.97506
3.73991,3.73966,3.74016,15.08982,5.69319,-5.69319
3.74041,3.74016,3.74066,15.46257,6.22815,-6.22815
3.74091,3.74066,3.74116,31.60039,7.12813,-7.12813
3.74141,3.74116,3.74166,22.50674,6.42513,-6.42513
3.74191,3.74166,3.74216,10.46671,5.5417,-5.5417
3.74241,3.74216,3.74266,7.84907,5.42431,-5.42431
3.74291,3.74266,3.74316,9.29368,5.04953,-5.04953
3.74341,3.74316,3.74366,15.61505,5.83666,-5.83666
3.74391,3.74366,3.74416,19.17972,6.20782,-6.20782
3.7444100000000002,3.74416,3.74466,5.76835,5.20401,-5.20401
3.74491,3.74466,3.74516,18.83466,6.31746,-6.31746
3.7454099999999997,3.74516,3.74566,10.71483,5.12172,-5.12172
3.7459100000000003,3.74566,3.74616,22.12074,6.51287,-6.51287
3.74641,3.74616,3.74666,11.89772,5.81357,-5.81357
3.7469099999999997,3.74666,3.74716,18.42971,6.3708,-6.3708
3.7474100000000004,3.74716,3.74766,13.30208,6.08655,-6.08655
3.74791,3.74766,3.74816,17.09842,6.39047,-6.39047
3.74841,3.74816,3.74866,16.30606,5.96687,-5.96687
3.74891,3.74866,3.74916,24.00543,6.84124,-6.84124
3.74941,3.74916,3.74966,27.09684,7.07208,-7.07208
3.74991,3.74966,3.75016,12.30812,6.42189,-6.42189
3.75041,3.75016,3.75066,27.87209,7.2504,-7.2504
3.75091,3.75066,3.75116,13.9568,5.79115,-5.79115
3.75141,3.75116,3.75166,21.87492,6.56767,-6.56767
3.75191,3.75166,3.75216,34.95869,7.844,-7.844
3.7524100000000002,3.75216,3.75266,20.41001,7.00133,-7.00133
3.75291,3.75266,3.75316,23.9531,6.62649,-6.62649
3.7534099999999997,3.75316,3.75366,19.04171,6.1745,-6.1745
3.7539100000000003,3.75366,3.75416,24.03083,6.60539,-6.60539
3.75441,3.75416,3.75466,18.4567,6.24245,-6.24245
3.7549099999999997,3.75466,3.75516,15.25985,6.41643,-6.41643
3.7554100000000004,3.75516,3.75566,21.42472,6.55746,-6.55746
3.75591,3.75566,3.75616,25.46886,6.92371,-6.92371
3.75641,3.75616,3.75666,18.04251,6.0968,-6.0968
3.75691,3.75666,3.75716,23.55832,7.20253,-7.20253
3.75741,3.75716,3.75766,21.16552,6.59822,-6.59822

