#: table_doi: 10.17182/hepdata.113470.v1/t4
#: name: Fig 4b
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_4b.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [GEV],$m_{D^+ D^0}$ [GEV] LOW,$m_{D^+ D^0}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
3.73473,3.73448,3.73498,38.04047,7.46423,-7.46423
3.73523,3.73498,3.73548,36.18541,7.24244,-7.24244
3.73573,3.73548,3.73598,40.80066,7.46064,-7.46064
3.73623,3.73598,3.73648,30.92631,6.965,-6.965
3.7367299999999997,3.73648,3.73698,14.30568,5.89842,-5.89842
3.7372300000000003,3.73698,3.73748,28.23303,6.26719,-6.26719
3.73773,3.73748,3.73798,23.64475,6.6216,-6.6216
3.7382299999999997,3.73798,3.73848,19.0599,6.0143,-6.0143
3.7387300000000003,3.73848,3.73898,16.53869,6.13748,-6.13748
3.73923,3.73898,3.73948,23.00334,6.42312,-6.42312
3.7397299999999998,3.73948,3.73998,17.32386,6.28908,-6.28908
3.74023,3.73998,3.74048,9.81742,5.65899,-5.65899
3.74073,3.74048,3.74098,24.99132,6.90446,-6.90446
3.74123,3.74098,3.74148,19.97771,7.10452,-7.10452
3.74173,3.74148,3.74198,8.07264,5.72864,-5.72864
3.74223,3.74198,3.74248,34.64889,7.96574,-7.96574
3.74273,3.74248,3.74298,23.34397,6.62295,-6.62295
3.74323,3.74298,3.74348,27.00311,7.2517,-7.2517
3.7437300000000002,3.74348,3.74398,18.80671,5.89567,-5.89567
3.74423,3.74398,3.74448,18.57994,7.25238,-7.25238
3.7447299999999997,3.74448,3.74498,17.62958,6.8722,-6.8722
3.7452300000000003,3.74498,3.74548,14.99337,6.25109,-6.25109
3.74573,3.74548,3.74598,11.93305,6.33184,-6.33184
3.7462299999999997,3.74598,3.74648,25.45009,6.7761,-6.7761
3.7467300000000003,3.74648,3.74698,12.78334,6.21899,-6.21899
3.74723,3.74698,3.74748,16.77578,6.61307,-6.61307
3.74773,3.74748,3.74798,9.71411,5.82699,-5.82699
3.74823,3.74798,3.74848,12.36677,6.44992,-6.44992
3.74873,3.74848,3.74898,12.338,5.89917,-5.89917
3.74923,3.74898,3.74948,24.68596,7.43604,-7.43604
3.74973,3.74948,3.74998,7.38434,6.05324,-6.05324
3.75023,3.74998,3.75048,19.38121,6.3399,-6.3399
3.75073,3.75048,3.75098,32.93354,7.85936,-7.85936
3.75123,3.75098,3.75148,19.76261,6.78478,-6.78478
3.7517300000000002,3.75148,3.75198,13.48532,6.21685,-6.21685
3.75223,3.75198,3.75248,20.70776,7.00769,-7.00769
3.7527299999999997,3.75248,3.75298,15.48021,6.16262,-6.16262
3.7532300000000003,3.75298,3.75348,21.8253,6.9324,-6.9324
3.75373,3.75348,3.75398,24.46633,7.2242,-7.2242
3.7542299999999997,3.75398,3.75448,20.61676,7.0439,-7.0439
3.7547300000000003,3.75448,3.75498,17.59626,7.13655,-7.13655
3.75523,3.75498,3.75548,12.46061,6.87836,-6.87836
3.75573,3.75548,3.75598,17.51616,6.44756,-6.44756
3.75623,3.75598,3.75648,30.63834,7.35499,-7.35499
3.75673,3.75648,3.75698,7.50556,6.32734,-6.32734
3.75723,3.75698,3.75748,19.3337,7.54399,-7.54399

