#: table_doi: 10.17182/hepdata.113470.v1/t5
#: name: Fig 5a
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_5a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [GEV],$m_{D^+ D^+}$ [GEV] LOW,$m_{D^+ D^+}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
3.7418,3.7393,3.7443,6.67942,6.85448,-6.85448
3.7468,3.7443,3.7493,35.75432,9.94901,-9.94901
3.7518000000000002,3.7493,3.7543,43.22778,11.79587,-11.79587
3.7568,3.7543,3.7593,24.42342,11.13927,-11.13927
3.7618,3.7593,3.7643,47.18359,11.62075,-11.62075
3.7668,3.7643,3.7693,45.74525,11.86372,-11.86372
3.7718,3.7693,3.7743,49.55413,11.6597,-11.6597
3.7768,3.7743,3.7793,69.90836,13.01247,-13.01247
3.7818,3.7793,3.7843,62.97743,12.51139,-12.51139
3.7868,3.7843,3.7893,40.04569,11.48188,-11.48188
3.7918,3.7893,3.7943,66.59402,13.04729,-13.04729
3.7968,3.7943,3.7993,63.37865,12.95103,-12.95103
3.8018,3.7993,3.8043,59.09327,11.96246,-11.96246
3.8068,3.8043,3.8093,68.91586,12.38038,-12.38038
3.8118,3.8093,3.8143,59.27095,12.84083,-12.84083
3.8167999999999997,3.8143,3.8193,47.96228,12.21978,-12.21978
3.8218,3.8193,3.8243,55.95627,12.084,-12.084
3.8268,3.8243,3.8293,43.51664,11.28297,-11.28297
3.8318,3.8293,3.8343,70.56239,12.83236,-12.83236
3.8368,3.8343,3.8393,66.35384,12.39217,-12.39217
3.8418,3.8393,3.8443,62.62406,12.36113,-12.36113
3.8468,3.8443,3.8493,57.39684,11.65367,-11.65367
3.8518,3.8493,3.8543,81.51974,12.71715,-12.71715
3.8568,3.8543,3.8593,70.84932,12.00744,-12.00744
3.8618,3.8593,3.8643,51.64426,11.4101,-11.4101
3.8668,3.8643,3.8693,68.72569,12.44969,-12.44969

