#: table_doi: 10.17182/hepdata.113470.v1/t6
#: name: Fig 5b
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_5b.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [GEV],$m_{D^+ D^0 \pi^+}$ [GEV] LOW,$m_{D^+ D^0 \pi^+}$ [GEV] HIGH,DN/DM [GEV**-1],stat +,stat -
3.8775,3.876,3.879,1.15989,1.15989,-1.15989
3.8805,3.879,3.882,6.79811,3.7686,-3.7686
3.8834999999999997,3.882,3.885,-1.75046,5.51891,-5.51891
3.8865,3.885,3.888,15.51234,7.9666,-7.9666
3.8895,3.888,3.891,13.4757,6.72299,-6.72299
3.8925,3.891,3.894,9.94842,6.27183,-6.27183
3.8955,3.894,3.897,6.8289,7.14169,-7.14169
3.8985,3.897,3.9,10.8995,7.84502,-7.84502
3.9015,3.9,3.903,17.68461,6.81591,-6.81591
3.9045,3.903,3.906,2.20834,6.12846,-6.12846
3.9074999999999998,3.906,3.909,10.16974,10.45587,-10.45587
3.9105,3.909,3.912,15.11624,7.82884,-7.82884
3.9135,3.912,3.915,34.736,8.5906,-8.5906
3.9165,3.915,3.918,21.19507,7.06016,-7.06016
3.9195,3.918,3.921,19.99113,7.30137,-7.30137
3.9225,3.921,3.924,34.60529,7.89206,-7.89206
3.9255,3.924,3.927,19.33462,7.6031,-7.6031
3.9285,3.927,3.93,26.83754,8.63873,-8.63873
3.9314999999999998,3.93,3.933,41.81199,9.28075,-9.28075
3.9345,3.933,3.936,21.4402,10.17752,-10.17752
3.9375,3.936,3.939,25.8928,9.02602,-9.02602
3.9405,3.939,3.942,35.47137,10.1658,-10.1658
3.9435000000000002,3.942,3.945,27.20918,7.84397,-7.84397
3.9465,3.945,3.948,29.56768,8.88882,-8.88882
3.9495,3.948,3.951,28.46183,8.41343,-8.41343
3.9525,3.951,3.954,29.68807,10.26738,-10.26738
3.9555,3.954,3.957,21.40705,9.03236,-9.03236
3.9585,3.957,3.96,30.07523,7.91336,-7.91336
3.9615,3.96,3.963,42.33847,8.46574,-8.46574
3.9645,3.963,3.966,31.13864,9.49557,-9.49557
3.9675000000000002,3.966,3.969,23.6179,10.26734,-10.26734
3.9705,3.969,3.972,35.11955,8.40639,-8.40639
3.9735,3.972,3.975,44.22845,8.97119,-8.97119
3.9765,3.975,3.978,31.61817,8.75574,-8.75574
3.9795,3.978,3.981,27.28214,8.8493,-8.8493
3.9825,3.981,3.984,29.82564,8.00989,-8.00989
3.9855,3.984,3.987,18.20471,8.3201,-8.3201
3.9885,3.987,3.99,25.00062,7.73844,-7.73844
3.9915000000000003,3.99,3.993,48.00919,9.85155,-9.85155
3.9945,3.993,3.996,26.81179,8.48134,-8.48134
3.9975,3.996,3.999,39.93732,8.37671,-8.37671
4.0005,3.999,4.002,34.50544,8.09219,-8.09219
4.0035,4.002,4.005,20.60195,7.25391,-7.25391
4.0065,4.005,4.008,33.54499,8.19382,-8.19382
4.0095,4.008,4.011,27.58264,7.74963,-7.74963
4.0125,4.011,4.014,35.23351,8.13965,-8.13965
4.0155,4.014,4.017,35.72822,8.64499,-8.64499
4.0184999999999995,4.017,4.02,24.03281,8.60382,-8.60382

