#: table_doi: 10.17182/hepdata.113470.v1/t9
#: name: Fig 9a
#: description: Mass distributions for selected $D^0 \bar{D}^0$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_9a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 \bar{D}^0}$ [GEV],$m_{D^0 \bar{D}^0}$ [GEV] LOW,$m_{D^0 \bar{D}^0}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.7301599999999997,3.72966,3.73066,175.1668,14.78401,-14.78401
3.73116,3.73066,3.73166,76.31955,10.29468,-10.29468
3.7321600000000004,3.73166,3.73266,46.48432,8.58135,-8.58135
3.73316,3.73266,3.73366,37.59568,7.65058,-7.65058
3.73416,3.73366,3.73466,38.23048,8.26573,-8.26573
3.73516,3.73466,3.73566,21.43819,7.05877,-7.05877
3.73616,3.73566,3.73666,31.9954,8.1048,-8.1048
3.7371600000000003,3.73666,3.73766,29.03881,7.7661,-7.7661
3.7381599999999997,3.73766,3.73866,51.71702,9.15115,-9.15115
3.73916,3.73866,3.73966,40.41075,8.66224,-8.66224
3.7401600000000004,3.73966,3.74066,30.33674,8.42874,-8.42874
3.74116,3.74066,3.74166,53.96264,9.53378,-9.53378
3.74216,3.74166,3.74266,17.96961,7.73389,-7.73389
3.74316,3.74266,3.74366,25.20239,7.70723,-7.70723
3.74416,3.74366,3.74466,24.78506,8.08832,-8.08832
3.7451600000000003,3.74466,3.74566,29.22838,8.07081,-8.07081
3.7461599999999997,3.74566,3.74666,34.17417,8.67917,-8.67917
3.74716,3.74666,3.74766,32.68526,8.72155,-8.72155
3.7481600000000004,3.74766,3.74866,33.72636,8.71534,-8.71534
3.74916,3.74866,3.74966,51.76306,9.81765,-9.81765
3.75016,3.74966,3.75066,40.03772,9.60352,-9.60352
3.75116,3.75066,3.75166,35.35532,8.67659,-8.67659
3.75216,3.75166,3.75266,56.10261,10.44741,-10.44741
3.7531600000000003,3.75266,3.75366,42.94633,9.02458,-9.02458
3.7541599999999997,3.75366,3.75466,42.88043,9.03954,-9.03954
3.75516,3.75466,3.75566,36.48934,9.14096,-9.14096
3.7561600000000004,3.75566,3.75666,44.11315,9.20177,-9.20177
3.75716,3.75666,3.75766,44.59018,9.72718,-9.72718
3.75816,3.75766,3.75866,55.54649,10.33281,-10.33281
3.7591599999999996,3.75866,3.75966,31.4547,8.76332,-8.76332
3.76016,3.75966,3.76066,52.50913,9.67605,-9.67605
3.7611600000000003,3.76066,3.76166,43.82564,9.37247,-9.37247
3.7621599999999997,3.76166,3.76266,40.4352,9.49706,-9.49706
3.76316,3.76266,3.76366,39.08098,9.53677,-9.53677
3.76416,3.76366,3.76466,42.12055,9.12656,-9.12656
3.76516,3.76466,3.76566,53.70472,9.95159,-9.95159
3.76616,3.76566,3.76666,44.56119,9.9524,-9.9524
3.7671599999999996,3.76666,3.76766,44.81947,9.57278,-9.57278
3.76816,3.76766,3.76866,43.12023,9.29354,-9.29354
3.7691600000000003,3.76866,3.76966,58.76417,10.49186,-10.49186
3.7701599999999997,3.76966,3.77066,50.77298,9.37429,-9.37429
3.77116,3.77066,3.77166,58.23051,10.55969,-10.55969
3.77216,3.77166,3.77266,40.07802,9.36482,-9.36482
3.77316,3.77266,3.77366,41.31247,9.0993,-9.0993
3.77416,3.77366,3.77466,32.60454,9.24825,-9.24825
3.7751599999999996,3.77466,3.77566,58.99531,10.87672,-10.87672
3.77616,3.77566,3.77666,37.52312,9.24403,-9.24403
3.7771600000000003,3.77666,3.77766,39.8365,9.21044,-9.21044
3.7781599999999997,3.77766,3.77866,59.44955,10.04871,-10.04871
3.77916,3.77866,3.77966,41.37371,9.74545,-9.74545
3.78016,3.77966,3.78066,53.405,10.37749,-10.37749
3.78116,3.78066,3.78166,65.62715,10.47964,-10.47964
3.78216,3.78166,3.78266,51.43696,9.87613,-9.87613
3.7831599999999996,3.78266,3.78366,50.98865,10.19617,-10.19617
3.78416,3.78366,3.78466,75.20565,11.34283,-11.34283
3.7851600000000003,3.78466,3.78566,53.22818,10.02739,-10.02739
3.7861599999999997,3.78566,3.78666,72.01263,11.08761,-11.08761
3.78716,3.78666,3.78766,49.71216,9.80659,-9.80659
3.78816,3.78766,3.78866,54.68672,10.73048,-10.73048
3.78916,3.78866,3.78966,89.10688,11.86892,-11.86892
3.79016,3.78966,3.79066,54.18721,9.42834,-9.42834
3.7911599999999996,3.79066,3.79166,68.60783,10.7393,-10.7393
3.79216,3.79166,3.79266,43.51318,9.4273,-9.4273
3.7931600000000003,3.79266,3.79366,55.27582,9.86939,-9.86939
3.7941599999999998,3.79366,3.79466,50.33861,10.45136,-10.45136
3.79516,3.79466,3.79566,88.71754,11.86844,-11.86844
3.79616,3.79566,3.79666,57.2216,10.91033,-10.91033
3.79716,3.79666,3.79766,37.79144,9.69258,-9.69258
3.79816,3.79766,3.79866,67.52688,10.78862,-10.78862
3.7991599999999996,3.79866,3.79966,44.98351,9.85699,-9.85699
3.80016,3.79966,3.80066,69.2412,11.17211,-11.17211
3.8011600000000003,3.80066,3.80166,55.3894,10.01883,-10.01883

