#: table_doi: 10.17182/hepdata.113470.v1/t11
#: name: Fig ED3a
#: description: Mass distributions for selected $\bar{D}^0D^0\pi^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_ED3a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{ar{D}^0 D^0 \pi^+}$ [GEV],$m_{ar{D}^0 D^0 \pi^+}$ [GEV] LOW,$m_{ar{D}^0 D^0 \pi^+}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.8715,3.871,3.872,0.94766,0.94766,-0.94766
3.8725,3.872,3.873,0.56733,0.98358,-0.98358
3.8735,3.873,3.874,4.85014,2.34436,-2.34436
3.8745000000000003,3.874,3.875,64.44163,8.50435,-8.50435
3.8754999999999997,3.875,3.876,31.49247,6.1639,-6.1639
3.8765,3.876,3.877,16.10154,4.25939,-4.25939
3.8775,3.877,3.878,12.44575,3.84896,-3.84896
3.8785,3.878,3.879,14.53638,4.44315,-4.44315
3.8795,3.879,3.88,6.88599,3.31558,-3.31558
3.8804999999999996,3.88,3.881,8.33527,3.47564,-3.47564
3.8815,3.881,3.882,11.52283,4.3299,-4.3299
3.8825000000000003,3.882,3.883,9.06692,3.35654,-3.35654
3.8834999999999997,3.883,3.884,15.59709,4.44425,-4.44425
3.8845,3.884,3.885,10.86847,4.06404,-4.06404
3.8855,3.885,3.886,6.57932,3.41198,-3.41198
3.8865,3.886,3.887,10.23309,3.66254,-3.66254
3.8875,3.887,3.888,11.01665,3.67361,-3.67361
3.8884999999999996,3.888,3.889,15.38511,4.03088,-4.03088
3.8895,3.889,3.89,6.33413,3.39094,-3.39094
3.8905000000000003,3.89,3.891,6.22458,3.36136,-3.36136
3.8914999999999997,3.891,3.892,15.55108,4.48688,-4.48688
