#: table_doi: 10.17182/hepdata.113470.v1/t12
#: name: Fig ED3b
#: description: Mass distributions for selected $D^0D^0\pi^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_ED3b.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0 \pi^+}$ [GEV],$m_{D^0 D^0 \pi^+}$ [GEV] LOW,$m_{D^0 D^0 \pi^+}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.8705,3.871,3.87,4.30947,2.15498,-2.15498
3.8715,3.872,3.871,7.74915,3.30534,-3.30534
3.8725,3.873,3.872,11.29605,3.39974,-3.39974
3.8735,3.874,3.873,24.70255,5.10868,-5.10868
3.8745000000000003,3.875,3.874,39.54267,6.75177,-6.75177
3.8754999999999997,3.876,3.875,110.9374,10.95841,-10.95841
3.8765,3.877,3.876,160.8832,13.20825,-13.20825
3.8775,3.878,3.877,201.3405,14.92522,-14.92522
3.8785,3.879,3.878,205.0677,14.98854,-14.98854
3.8795,3.88,3.879,240.881,16.2071,-16.2071
3.8804999999999996,3.881,3.88,279.7274,17.47101,-17.47101
3.8815,3.882,3.881,252.9099,17.04626,-17.04626
3.8825000000000003,3.883,3.882,237.806,16.36328,-16.36328
3.8834999999999997,3.884,3.883,263.1874,17.05906,-17.05906
3.8845,3.885,3.884,262.3816,17.30426,-17.30426
3.8855,3.886,3.885,280.7319,17.91097,-17.91097
3.8865,3.887,3.886,257.1608,17.06073,-17.06073
3.8875,3.888,3.887,287.4164,17.83874,-17.83874
3.8884999999999996,3.889,3.888,253.9896,16.94206,-16.94206
3.8895,3.89,3.889,230.0991,16.40519,-16.40519
3.8905000000000003,3.891,3.89,264.4916,17.38696,-17.38696
3.8914999999999997,3.892,3.891,252.9933,17.1237,-17.1237
3.8925,3.893,3.892,217.6128,16.03987,-16.03987
3.8935,3.894,3.893,213.3789,15.77453,-15.77453
3.8945,3.895,3.894,214.2775,15.94182,-15.94182
3.8955,3.896,3.895,202.3057,15.44928,-15.44928
3.8964999999999996,3.897,3.896,220.102,15.76755,-15.76755
3.8975,3.898,3.897,215.0968,15.34806,-15.34806
3.8985000000000003,3.899,3.898,190.7598,15.02645,-15.02645
3.8994999999999997,3.9,3.899,220.5045,15.88401,-15.88401
3.9005,3.901,3.9,224.4361,15.90777,-15.90777
3.9015,3.902,3.901,200.3295,15.48293,-15.48293
3.9025,3.903,3.902,199.07,15.43091,-15.43091
3.9035,3.904,3.903,217.0524,16.01192,-16.01192
3.9044999999999996,3.905,3.904,203.069,15.07926,-15.07926
3.9055,3.906,3.905,233.9099,16.37068,-16.37068
3.9065000000000003,3.907,3.906,202.9379,15.2862,-15.2862
3.9074999999999998,3.908,3.907,188.0917,15.02814,-15.02814
3.9085,3.909,3.908,220.8225,15.77469,-15.77469
3.9095,3.91,3.909,204.6435,15.1782,-15.1782
3.9105,3.911,3.91,174.0521,14.31718,-14.31718
3.9115,3.912,3.911,191.2163,14.58746,-14.58746
3.9124999999999996,3.913,3.912,195.1035,14.90184,-14.90184
3.9135,3.914,3.913,166.27,13.90969,-13.90969
3.9145000000000003,3.915,3.914,166.7901,13.92832,-13.92832
3.9154999999999998,3.916,3.915,198.2057,14.99469,-14.99469
3.9165,3.917,3.916,169.0798,14.00915,-14.00915
3.9175,3.918,3.917,178.8339,13.98447,-13.98447
3.9185,3.919,3.918,186.9152,15.04986,-15.04986
3.9195,3.92,3.919,168.8931,13.96931,-13.96931
3.9204999999999997,3.921,3.92,166.5028,13.64457,-13.64457
3.9215,3.922,3.921,166.6605,14.01774,-14.01774
3.9225000000000003,3.923,3.922,156.3546,13.37172,-13.37172
3.9234999999999998,3.924,3.923,170.1823,13.9254,-13.9254
3.9245,3.925,3.924,159.7612,13.54384,-13.54384
3.9255,3.926,3.925,143.5912,12.93608,-12.93608
3.9265,3.927,3.926,147.321,13.16726,-13.16726
3.9275,3.928,3.927,169.7914,13.98061,-13.98061
3.9284999999999997,3.929,3.928,174.5161,13.89808,-13.89808
3.9295,3.93,3.929,152.5449,13.32838,-13.32838
3.9305000000000003,3.931,3.93,159.9156,13.4097,-13.4097
3.9314999999999998,3.932,3.931,153.9507,13.16442,-13.16442
3.9325,3.933,3.932,129.254,12.44502,-12.44502
3.9335,3.934,3.933,137.4614,12.58723,-12.58723
3.9345,3.935,3.934,139.9042,12.6479,-12.6479
3.9355,3.936,3.935,150.0464,13.36517,-13.36517
3.9364999999999997,3.937,3.936,136.3928,12.61545,-12.61545
3.9375,3.938,3.937,130.2754,12.64066,-12.64066
3.9385000000000003,3.939,3.938,127.8572,12.24364,-12.24364
3.9395,3.94,3.939,162.0633,13.37484,-13.37484
3.9405,3.941,3.94,122.8391,12.25087,-12.25087
3.9415,3.942,3.941,134.2127,12.31237,-12.31237
3.9425,3.943,3.942,130.8106,12.17482,-12.17482
3.9435000000000002,3.944,3.943,145.2706,12.92328,-12.92328
3.9444999999999997,3.945,3.944,125.6575,11.80369,-11.80369
3.9455,3.946,3.945,106.9205,11.15045,-11.15045
3.9465000000000003,3.947,3.946,133.3882,12.30405,-12.30405
3.9475,3.948,3.947,135.4541,12.77255,-12.77255
3.9485,3.949,3.948,126.8101,12.02705,-12.02705
3.9495,3.95,3.949,116.1916,11.45197,-11.45197
3.9505,3.951,3.95,132.8292,12.4491,-12.4491
3.9515000000000002,3.952,3.951,121.5585,11.71076,-11.71076
3.9524999999999997,3.953,3.952,116.8402,11.77436,-11.77436
3.9535,3.954,3.953,128.9532,11.84462,-11.84462
3.9545000000000003,3.955,3.954,133.4636,11.98123,-11.98123
3.9555,3.956,3.955,95.52135,10.8888,-10.8888
3.9565,3.957,3.956,109.0698,11.23137,-11.23137
3.9575,3.958,3.957,106.0656,10.77893,-10.77893
3.9585,3.959,3.958,128.8957,12.00573,-12.00573
3.9595000000000002,3.96,3.959,129.1475,12.09854,-12.09854
3.9604999999999997,3.961,3.96,118.8304,11.75471,-11.75471
3.9615,3.962,3.961,99.51432,10.76594,-10.76594
3.9625000000000004,3.963,3.962,101.9022,10.77234,-10.77234
3.9635,3.964,3.963,85.38154,9.97901,-9.97901
3.9645,3.965,3.964,95.36938,10.4645,-10.4645
3.9655,3.966,3.965,100.9868,10.52466,-10.52466
3.9665,3.967,3.966,100.3424,10.73028,-10.73028
3.9675000000000002,3.968,3.967,104.6796,10.98039,-10.98039
3.9684999999999997,3.969,3.968,100.5841,10.56852,-10.56852
3.9695,3.97,3.969,95.70792,10.42278,-10.42278
3.9705000000000004,3.971,3.97,92.46528,10.51478,-10.51478
3.9715,3.972,3.971,102.2445,10.61964,-10.61964
3.9725,3.973,3.972,81.45566,9.62093,-9.62093
3.9735,3.974,3.973,95.821,10.51557,-10.51557
3.9745,3.975,3.974,83.21136,9.97527,-9.97527
3.9755000000000003,3.976,3.975,84.41731,9.91201,-9.91201
3.9764999999999997,3.977,3.976,88.46943,10.15177,-10.15177
3.9775,3.978,3.977,90.76936,10.09462,-10.09462
3.9785000000000004,3.979,3.978,76.62946,9.18356,-9.18356
3.9795,3.98,3.979,69.82725,9.08902,-9.08902
3.9805,3.981,3.98,88.84119,9.9329,-9.9329
3.9815,3.982,3.981,79.5652,9.62509,-9.62509
3.9825,3.983,3.982,86.29752,10.00516,-10.00516
3.9835000000000003,3.984,3.983,84.70408,9.92347,-9.92347
3.9844999999999997,3.985,3.984,71.21509,9.12618,-9.12618
3.9855,3.986,3.985,80.81797,9.4524,-9.4524
3.9865000000000004,3.987,3.986,75.93888,9.44569,-9.44569
3.9875,3.988,3.987,77.81708,9.75815,-9.75815
3.9885,3.989,3.988,85.22456,9.68516,-9.68516
3.9895,3.99,3.989,71.95482,9.28516,-9.28516
3.9905,3.991,3.99,66.55695,8.83861,-8.83861
3.9915000000000003,3.992,3.991,53.72366,8.24562,-8.24562
3.9924999999999997,3.993,3.992,85.82175,9.88243,-9.88243
3.9935,3.994,3.993,67.18721,8.76847,-8.76847
3.9945000000000004,3.995,3.994,65.52775,8.97811,-8.97811
3.9955,3.996,3.995,77.24124,9.25892,-9.25892
3.9965,3.997,3.996,71.97547,8.99927,-8.99927
3.9975,3.998,3.997,82.31172,9.57902,-9.57902
3.9985,3.999,3.998,67.15024,8.90885,-8.90885
3.9995000000000003,4.0,3.999,61.38662,8.18577,-8.18577
4.000500000000001,4.001,4.0,62.07252,8.3488,-8.3488
4.0015,4.002,4.001,51.53013,7.85481,-7.85481
4.0024999999999995,4.003,4.002,53.62383,8.08465,-8.08465
4.0035,4.004,4.003,79.74698,9.2715,-9.2715
4.0045,4.005,4.004,67.51409,8.9669,-8.9669
4.0055,4.006,4.005,59.11875,8.33439,-8.33439
4.0065,4.007,4.006,61.39019,8.49132,-8.49132
4.0075,4.008,4.007,71.762,8.85071,-8.85071
4.0085,4.009,4.008,54.71653,7.9761,-7.9761
4.0095,4.01,4.009,68.2829,8.48795,-8.48795
4.0105,4.011,4.01,66.63986,9.06504,-9.06504
4.0115,4.012,4.011,55.15973,8.10512,-8.10512
4.012499999999999,4.013,4.012,69.22818,8.77057,-8.77057
4.0135000000000005,4.014,4.013,52.22107,7.79528,-7.79528
4.0145,4.015,4.014,63.15726,8.24768,-8.24768
4.015499999999999,4.016,4.015,77.3907,8.97698,-8.97698
4.016500000000001,4.017,4.016,47.26736,7.59427,-7.59427
4.0175,4.018,4.017,69.94489,8.5084,-8.5084
4.0184999999999995,4.019,4.018,59.60794,8.12157,-8.12157
4.0195,4.02,4.019,53.10114,8.17016,-8.17016

