#: table_doi: 10.17182/hepdata.113470.v1/t13
#: name: Fig ED4a
#: description: Mass distributions for selected $D^0D^-$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_ED4a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^+}$ [GEV],$m_{D^0 D^+}$ [GEV] LOW,$m_{D^0 D^+}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.73498,3.73448,3.73548,76.3137,10.57555,-10.57555
3.7359799999999996,3.73548,3.73648,74.76348,10.49179,-10.49179
3.73698,3.73648,3.73748,43.56938,8.86001,-8.86001
3.7379800000000003,3.73748,3.73848,47.01021,9.42827,-9.42827
3.7389799999999997,3.73848,3.73948,40.73152,9.0207,-9.0207
3.73998,3.73948,3.74048,30.31462,8.71347,-8.71347
3.74098,3.74048,3.74148,44.15306,10.06714,-10.06714
3.74198,3.74148,3.74248,44.06235,10.07057,-10.07057
3.74298,3.74248,3.74348,52.56685,10.01529,-10.01529
3.7439799999999996,3.74348,3.74448,42.17488,9.70155,-9.70155
3.74498,3.74448,3.74548,34.12154,9.77624,-9.77624
3.7459800000000003,3.74548,3.74648,37.96739,9.52795,-9.52795
3.7469799999999998,3.74648,3.74748,29.06402,9.48791,-9.48791
3.74798,3.74748,3.74848,22.57695,8.96693,-8.96693
3.74898,3.74848,3.74948,39.63334,9.89624,-9.89624
3.74998,3.74948,3.75048,27.2041,9.15718,-9.15718
3.75098,3.75048,3.75148,56.19847,10.81086,-10.81086
3.7519799999999996,3.75148,3.75248,32.96784,9.73986,-9.73986
3.75298,3.75248,3.75348,40.25257,9.6973,-9.6973
3.7539800000000003,3.75348,3.75448,46.84128,10.40707,-10.40707
3.7549799999999998,3.75448,3.75548,31.96147,10.39178,-10.39178
3.75598,3.75548,3.75648,51.30489,10.04636,-10.04636
3.75698,3.75648,3.75748,29.2916,10.14695,-10.14695
3.75798,3.75748,3.75848,33.77504,10.3715,-10.3715
3.75898,3.75848,3.75948,32.68035,10.77296,-10.77296
3.7599799999999997,3.75948,3.76048,34.04415,9.58442,-9.58442
3.76098,3.76048,3.76148,40.08381,10.77766,-10.77766
3.7619800000000003,3.76148,3.76248,33.67278,10.14971,-10.14971
3.7629799999999998,3.76248,3.76348,41.42687,10.43919,-10.43919
3.76398,3.76348,3.76448,40.23507,10.5146,-10.5146
3.76498,3.76448,3.76548,63.0553,11.15447,-11.15447
3.76598,3.76548,3.76648,41.83437,10.52936,-10.52936
3.76698,3.76648,3.76748,36.34609,10.05046,-10.05046
3.7679799999999997,3.76748,3.76848,25.05717,9.95134,-9.95134
3.76898,3.76848,3.76948,30.59035,9.21233,-9.21233
3.7699800000000003,3.76948,3.77048,39.26771,10.18434,-10.18434
3.7709799999999998,3.77048,3.77148,53.06036,11.10569,-11.10569
3.77198,3.77148,3.77248,40.05871,10.25915,-10.25915
3.77298,3.77248,3.77348,71.40889,11.72336,-11.72336
3.77398,3.77348,3.77448,44.04373,9.77078,-9.77078
3.7749800000000002,3.77448,3.77548,40.1423,11.10233,-11.10233
3.7759799999999997,3.77548,3.77648,44.71152,10.31666,-10.31666
3.77698,3.77648,3.77748,60.53834,11.45022,-11.45022
3.7779800000000003,3.77748,3.77848,42.69815,9.83581,-9.83581
3.77898,3.77848,3.77948,52.68351,11.16737,-11.16737
3.77998,3.77948,3.78048,56.0306,11.17505,-11.17505
3.78098,3.78048,3.78148,54.58496,10.80436,-10.80436
3.78198,3.78148,3.78248,44.45257,10.32862,-10.32862
3.7829800000000002,3.78248,3.78348,40.25376,10.28958,-10.28958
3.7839799999999997,3.78348,3.78448,48.8235,10.13783,-10.13783
3.78498,3.78448,3.78548,51.29122,10.7262,-10.7262
3.7859800000000003,3.78548,3.78648,45.07747,10.41332,-10.41332
3.78698,3.78648,3.78748,66.60653,11.49567,-11.49567
3.78798,3.78748,3.78848,60.57779,10.81898,-10.81898
3.78898,3.78848,3.78948,54.63043,11.10028,-11.10028
3.78998,3.78948,3.79048,57.9925,10.96806,-10.96806
3.7909800000000002,3.79048,3.79148,58.3616,11.19006,-11.19006
3.7919799999999997,3.79148,3.79248,38.76248,9.87271,-9.87271
3.79298,3.79248,3.79348,60.59071,11.44479,-11.44479
3.7939800000000004,3.79348,3.79448,45.59525,10.88173,-10.88173
3.79498,3.79448,3.79548,57.66746,11.42754,-11.42754
3.79598,3.79548,3.79648,47.09985,10.63367,-10.63367
3.79698,3.79648,3.79748,35.09639,10.33346,-10.33346
3.79798,3.79748,3.79848,56.2303,10.55601,-10.55601
3.7989800000000002,3.79848,3.79948,63.59203,10.88311,-10.88311
3.7999799999999997,3.79948,3.80048,74.46678,11.75669,-11.75669
3.80098,3.80048,3.80148,64.92423,11.55276,-11.55276
3.8019800000000004,3.80148,3.80248,41.75948,10.52208,-10.52208
3.80298,3.80248,3.80348,42.41538,10.83475,-10.83475
3.80398,3.80348,3.80448,47.24062,10.22994,-10.22994
3.80498,3.80448,3.80548,64.40344,11.25715,-11.25715
3.80598,3.80548,3.80648,76.82208,11.48139,-11.48139
3.8069800000000003,3.80648,3.80748,46.77371,10.32936,-10.32936
3.8079799999999997,3.80748,3.80848,65.0608,11.5603,-11.5603
3.80898,3.80848,3.80948,70.86184,11.97883,-11.97883
3.8099800000000004,3.80948,3.81048,66.25512,11.48787,-11.48787
3.81098,3.81048,3.81148,38.67181,10.00576,-10.00576
3.81198,3.81148,3.81248,58.0196,10.8785,-10.8785
3.81298,3.81248,3.81348,53.77454,10.58966,-10.58966
3.81398,3.81348,3.81448,65.32107,11.30301,-11.30301
3.8149800000000003,3.81448,3.81548,70.704,11.75753,-11.75753
3.8159799999999997,3.81548,3.81648,55.06307,10.95707,-10.95707

