mass_GeV,counts,stat_err
6.0500,0,1.0000
6.1500,0,1.0000
6.2500,0,1.0000
6.3500,0,1.0000
6.4500,0,1.0000
6.5500,0,1.0000
6.6500,0,1.0000
6.7500,0,1.0000
6.8500,0,1.0000
6.9500,0,1.0000
7.0500,0,1.0000
7.1500,0,1.0000
7.2500,0,1.0000
7.3500,0,1.0000
7.4500,0,1.0000
7.5500,0,1.0000
7.6500,0,1.0000
7.7500,0,1.0000
7.8500,0,1.0000
7.9500,0,1.0000
8.0500,0,1.0000
8.1500,0,1.0000
8.2500,0,1.0000
8.3500,0,1.0000
8.4500,0,1.0000
8.5500,0,1.0000
8.6500,0,1.0000
8.7500,0,1.0000
8.8500,0,1.0000
8.9500,0,1.0000
9.0500,0,1.0000
9.1500,0,1.0000
9.2500,0,1.0000
9.3500,0,1.0000
9.4500,0,1.0000
9.5500,0,1.0000
9.6500,0,1.0000
9.7500,0,1.0000
9.8500,0,1.0000
9.9500,0,1.0000
10.0500,0,1.0000
10.1500,0,1.0000
10.2500,0,1.0000
10.3500,0,1.0000
10.4500,0,1.0000
10.5500,0,1.0000
10.6500,0,1.0000
10.7500,0,1.0000
10.8500,0,1.0000
10.9500,0,1.0000
11.0500,0,1.0000
11.1500,0,1.0000
11.2500,0,1.0000
11.3500,0,1.0000
11.4500,0,1.0000
11.5500,0,1.0000
11.6500,0,1.0000
11.7500,0,1.0000
11.8500,0,1.0000
11.9500,0,1.0000
12.0500,0,1.0000
12.1500,0,1.0000
12.2500,0,1.0000
12.3500,0,1.0000
12.4500,0,1.0000
12.5500,0,1.0000
12.6500,0,1.0000
12.7500,0,1.0000
12.8500,0,1.0000
12.9500,0,1.0000
13.0500,0,1.0000
13.1500,0,1.0000
13.2500,0,1.0000
13.3500,0,1.0000
13.4500,0,1.0000
13.5500,0,1.0000
13.6500,0,1.0000
13.7500,0,1.0000
13.8500,0,1.0000
13.9500,0,1.0000
14.0500,0,1.0000
14.1500,0,1.0000
14.2500,0,1.0000
14.3500,0,1.0000
14.4500,0,1.0000
14.5500,0,1.0000
14.6500,0,1.0000
14.7500,0,1.0000
14.8500,0,1.0000
14.9500,0,1.0000
