mass_GeV,counts,stat_err
2.9050,0,1.0000
2.9150,0,1.0000
2.9250,0,1.0000
2.9350,0,1.0000
2.9450,0,1.0000
2.9550,0,1.0000
2.9650,0,1.0000
2.9750,0,1.0000
2.9850,0,1.0000
2.9950,0,1.0000
3.0050,0,1.0000
3.0150,0,1.0000
3.0250,0,1.0000
3.0350,0,1.0000
3.0450,0,1.0000
3.0550,0,1.0000
3.0650,0,1.0000
3.0750,0,1.0000
3.0850,0,1.0000
3.0950,26,5.0990
3.1050,0,1.0000
3.1150,0,1.0000
3.1250,0,1.0000
3.1350,0,1.0000
3.1450,0,1.0000
3.1550,0,1.0000
3.1650,0,1.0000
3.1750,0,1.0000
3.1850,0,1.0000
3.1950,0,1.0000
3.2050,0,1.0000
3.2150,0,1.0000
3.2250,0,1.0000
3.2350,0,1.0000
3.2450,0,1.0000
3.2550,0,1.0000
3.2650,0,1.0000
3.2750,0,1.0000
3.2850,0,1.0000
3.2950,0,1.0000
