mass_GeV,counts,stat_err
0.0500,0,1.0000
0.1500,0,1.0000
0.2500,10,3.1623
0.3500,11,3.3166
0.4500,12,3.4641
0.5500,3,1.7321
0.6500,6,2.4495
0.7500,13,3.6056
0.8500,11,3.3166
0.9500,6,2.4495
1.0500,15,3.8730
1.1500,10,3.1623
1.2500,10,3.1623
1.3500,10,3.1623
1.4500,9,3.0000
1.5500,10,3.1623
1.6500,12,3.4641
1.7500,11,3.3166
1.8500,6,2.4495
1.9500,4,2.0000
2.0500,8,2.8284
2.1500,4,2.0000
2.2500,11,3.3166
2.3500,11,3.3166
2.4500,15,3.8730
2.5500,10,3.1623
2.6500,7,2.6458
2.7500,4,2.0000
2.8500,16,4.0000
2.9500,7,2.6458
3.0500,8,2.8284
3.1500,7,2.6458
3.2500,4,2.0000
3.3500,5,2.2361
3.4500,7,2.6458
3.5500,15,3.8730
3.6500,16,4.0000
3.7500,13,3.6056
3.8500,19,4.3589
3.9500,16,4.0000
4.0500,209,14.4568
4.1500,212,14.5602
4.2500,156,12.4900
4.3500,166,12.8841
4.4500,164,12.8062
4.5500,151,12.2882
4.6500,140,11.8322
4.7500,125,11.1803
4.8500,119,10.9087
4.9500,118,10.8628
5.0500,105,10.2470
5.1500,99,9.9499
5.2500,103,10.1489
5.3500,101,10.0499
5.4500,72,8.4853
5.5500,101,10.0499
5.6500,105,10.2470
5.7500,76,8.7178
5.8500,85,9.2195
5.9500,88,9.3808
6.0500,62,7.8740
6.1500,59,7.6811
6.2500,57,7.5498
6.3500,78,8.8318
6.4500,63,7.9373
6.5500,49,7.0000
6.6500,61,7.8102
6.7500,57,7.5498
6.8500,65,8.0623
6.9500,59,7.6811
7.0500,56,7.4833
7.1500,38,6.1644
7.2500,53,7.2801
7.3500,49,7.0000
7.4500,44,6.6332
7.5500,43,6.5574
7.6500,33,5.7446
7.7500,32,5.6569
7.8500,40,6.3246
7.9500,31,5.5678
8.0500,32,5.6569
8.1500,29,5.3852
8.2500,29,5.3852
8.3500,29,5.3852
8.4500,31,5.5678
8.5500,22,4.6904
8.6500,28,5.2915
8.7500,34,5.8310
8.8500,34,5.8310
8.9500,21,4.5826
9.0500,16,4.0000
9.1500,30,5.4772
9.2500,22,4.6904
9.3500,29,5.3852
9.4500,17,4.1231
9.5500,22,4.6904
9.6500,22,4.6904
9.7500,22,4.6904
9.8500,22,4.6904
9.9500,14,3.7417
10.0500,16,4.0000
10.1500,23,4.7958
10.2500,19,4.3589
10.3500,13,3.6056
10.4500,16,4.0000
10.5500,14,3.7417
10.6500,19,4.3589
10.7500,12,3.4641
10.8500,17,4.1231
10.9500,15,3.8730
11.0500,17,4.1231
11.1500,10,3.1623
11.2500,12,3.4641
11.3500,14,3.7417
11.4500,16,4.0000
11.5500,12,3.4641
11.6500,11,3.3166
11.7500,14,3.7417
11.8500,18,4.2426
11.9500,8,2.8284
12.0500,12,3.4641
12.1500,11,3.3166
12.2500,8,2.8284
12.3500,5,2.2361
12.4500,11,3.3166
12.5500,7,2.6458
12.6500,6,2.4495
12.7500,6,2.4495
12.8500,10,3.1623
12.9500,8,2.8284
13.0500,12,3.4641
13.1500,7,2.6458
13.2500,6,2.4495
13.3500,8,2.8284
13.4500,6,2.4495
13.5500,8,2.8284
13.6500,9,3.0000
13.7500,10,3.1623
13.8500,5,2.2361
13.9500,6,2.4495
14.0500,10,3.1623
14.1500,3,1.7321
14.2500,5,2.2361
14.3500,10,3.1623
14.4500,8,2.8284
14.5500,8,2.8284
14.6500,6,2.4495
14.7500,2,1.4142
14.8500,8,2.8284
14.9500,7,2.6458
