#: table_doi: 10.17182/hepdata.50372.v1/t6
#: name: Table 6
#: description: Isoscalar (I=0) component of the cross section for E+ E- --> K*(892) K with statistical errors only.

#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> K*(892)0 KS | E+ E- --> K*(892)- K+ | E+ E- --> K*(892)+ K-
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 1.4-3.08
#: RE,,,E+ E- --> K*(892) KAON
#: SQRT(S) [GeV],,,1.4-3.08
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG(C=I=0) [NB],error +,error -
1.41,1.4,1.42,1.26,0.75,-0.75
1.43,1.42,1.44,0.96,0.36,-0.36
1.45,1.44,1.46,1.62,0.42,-0.42
1.47,1.46,1.48,2.61,0.48,-0.48
1.49,1.48,1.5,1.38,0.39,-0.39
1.51,1.5,1.52,2.01,0.51,-0.51
1.53,1.52,1.54,3.06,0.57,-0.57
1.55,1.54,1.56,4.62,0.69,-0.69
1.57,1.56,1.58,5.28,0.66,-0.66
1.59,1.58,1.6,8.13,0.75,-0.75
1.61,1.6,1.62,6.63,0.81,-0.81
1.63,1.62,1.64,7.35,0.75,-0.75
1.65,1.64,1.66,9.48,0.84,-0.84
1.67,1.66,1.68,8.34,0.78,-0.78
1.69,1.68,1.7,8.4,0.75,-0.75
1.71,1.7,1.72,7.86,0.72,-0.72
1.73,1.72,1.74,6.45,0.69,-0.69
1.75,1.74,1.76,5.28,0.57,-0.57
1.77,1.76,1.78,2.97,0.45,-0.45
1.79,1.78,1.8,3.24,0.45,-0.45
1.81,1.8,1.82,3.57,0.48,-0.48
1.83,1.82,1.84,1.26,0.3,-0.3
1.85,1.84,1.86,1.56,0.3,-0.3
1.87,1.86,1.88,1.17,0.3,-0.3
1.89,1.88,1.9,1.59,0.36,-0.36
1.91,1.9,1.92,1.02,0.27,-0.27
1.94,1.92,1.96,1.11,0.18,-0.18
1.98,1.96,2.0,0.63,0.18,-0.18
2.02,2.0,2.04,0.84,0.18,-0.18
2.06,2.04,2.08,0.45,0.15,-0.15
2.1,2.08,2.12,0.57,0.18,-0.18
2.14,2.12,2.16,0.84,0.18,-0.18
2.18,2.16,2.2,0.42,0.12,-0.12
2.22,2.2,2.24,0.3,0.15,-0.15
2.26,2.24,2.28,0.12,0.06,-0.06
2.3,2.28,2.32,0.45,0.15,-0.15
2.34,2.32,2.36,0.15,0.09,-0.09
2.38,2.36,2.4,0.21,0.09,-0.09
2.42,2.4,2.44,0.15,0.06,-0.06
2.46,2.44,2.48,0.24,0.09,-0.09
2.5,2.48,2.52,0.21,0.09,-0.09
2.56,2.52,2.6,0.15,0.06,-0.06
2.64,2.6,2.68,0.18,0.06,-0.06
2.7199999999999998,2.68,2.76,0.12,0.03,-0.03
2.8,2.76,2.84,0.09,0.03,-0.03
2.88,2.84,2.92,0.09,0.06,-0.06
2.96,2.92,3.0,0.15,0.03,-0.03
3.04,3.0,3.08,0.09,0.03,-0.03
3.12,3.08,3.16,1.95,0.15,-0.15

