#: table_doi: 10.17182/hepdata.50372.v1/t7
#: name: Table 7
#: description: Isovector (I=1) component of the cross section for E+ E- --> K*(892) K with statistical errors only.

#: data_file: Table7.yaml
#: keyword reactions: E+ E- --> K*(892)0 KS | E+ E- --> K*(892)- K+ | E+ E- --> K*(892)+ K-
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 1.4-2.92
#: RE,,,E+ E- --> K*(892) KAON
#: SQRT(S) [GeV],,,1.4-2.92
SQRT(S) [GEV],SQRT(S) [GEV] LOW,SQRT(S) [GEV] HIGH,SIG(C=I=1) [NB],error +,error -
1.41,1.4,1.42,0.32,0.67,-0.67
1.43,1.42,1.44,0.68,0.4,-0.4
1.45,1.44,1.46,1.4,0.43,-0.43
1.47,1.46,1.48,1.27,0.39,-0.39
1.49,1.48,1.5,2.33,0.5,-0.5
1.51,1.5,1.52,2.96,0.58,-0.58
1.53,1.52,1.54,2.83,0.52,-0.52
1.55,1.54,1.56,3.08,0.55,-0.55
1.57,1.56,1.58,2.05,0.42,-0.42
1.59,1.58,1.6,1.67,0.33,-0.33
1.61,1.6,1.62,3.46,0.68,-0.68
1.63,1.62,1.64,1.52,0.38,-0.38
1.65,1.64,1.66,1.83,0.37,-0.37
1.67,1.66,1.68,2.82,0.5,-0.5
1.69,1.68,1.7,2.1,0.36,-0.36
1.71,1.7,1.72,1.28,0.3,-0.3
1.73,1.72,1.74,1.53,0.35,-0.35
1.75,1.74,1.76,1.6,0.32,-0.32
1.77,1.76,1.78,1.44,0.32,-0.32
1.79,1.78,1.8,1.34,0.32,-0.32
1.81,1.8,1.82,0.58,0.18,-0.18
1.83,1.82,1.84,1.44,0.31,-0.31
1.85,1.84,1.86,1.02,0.24,-0.24
1.87,1.86,1.88,0.96,0.29,-0.29
1.89,1.88,1.9,0.59,0.26,-0.26
1.91,1.9,1.92,0.26,0.14,-0.14
1.93,1.92,1.94,0.51,0.17,-0.17
1.94,1.92,1.96,0.4,0.12,-0.12
1.98,1.96,2.0,0.75,0.16,-0.16
2.02,2.0,2.04,0.6,0.2,-0.2
2.06,2.04,2.08,0.93,0.18,-0.18
2.1,2.08,2.12,0.78,0.18,-0.18
2.14,2.12,2.16,0.55,0.16,-0.16
2.18,2.16,2.2,0.47,0.13,-0.13
2.22,2.2,2.24,0.45,0.17,-0.17
2.26,2.24,2.28,0.45,0.12,-0.12
2.3,2.28,2.32,0.25,0.09,-0.09
2.34,2.32,2.36,0.41,0.1,-0.1
2.38,2.36,2.4,0.38,0.13,-0.13
2.42,2.4,2.44,0.21,0.11,-0.11
2.46,2.44,2.48,0.13,0.05,-0.05
2.5,2.48,2.52,0.1,0.05,-0.05
2.56,2.52,2.6,0.27,0.1,-0.1
2.64,2.6,2.68,0.05,0.03,-0.03
2.7199999999999998,2.68,2.76,0.11,0.04,-0.04
2.8,2.76,2.84,0.11,0.03,-0.03
2.88,2.84,2.92,0.04,0.01,-0.01
3.0,2.92,3.08,0.03,0.01,-0.01

