#: table_doi: 10.17182/hepdata.62222.v1/t4
#: name: Table 4
#: description: Cross section measurements for the reaction E+ E- --> PHI F0(980).  Statistical errors only.

#: data_file: Table4.yaml
#: keyword reactions: E+ E- --> PHI F0(980)
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | E+ E- Scattering
#: keyword cmenergies: 1.8875-2.9625
#: M(PI+ PI-) [GeV],0.85-1.1
#: RE,E+ E- --> PHI F0(980)
SQRT(S) [GEV],SIG [NB],error +,error -
1.8875,0.0,0.01,-0.01
1.9125,0.01,0.02,-0.02
1.9375,0.16,0.04,-0.04
1.9625,0.15,0.04,-0.04
1.9875,0.19,0.04,-0.04
2.0125,0.32,0.05,-0.05
2.0375,0.28,0.05,-0.05
2.0625,0.38,0.06,-0.06
2.0875,0.35,0.05,-0.05
2.1125,0.6,0.06,-0.06
2.1375,0.5,0.07,-0.07
2.1625,0.54,0.06,-0.06
2.1875,0.38,0.05,-0.05
2.2125,0.19,0.04,-0.04
2.2375,0.19,0.04,-0.04
2.2625,0.1,0.04,-0.04
2.2875,0.15,0.03,-0.03
2.3125,0.14,0.03,-0.03
2.3375,0.16,0.03,-0.03
2.3625,0.14,0.03,-0.03
2.3875,0.07,0.03,-0.03
2.4125,0.11,0.03,-0.03
2.4375,0.11,0.02,-0.02
2.4625,0.11,0.03,-0.03
2.4875,0.08,0.02,-0.02
2.5125,0.07,0.02,-0.02
2.5375,0.06,0.02,-0.02
2.5625,0.05,0.02,-0.02
2.5875,0.07,0.02,-0.02
2.6125,0.07,0.02,-0.02
2.6375,0.07,0.02,-0.02
2.6625,0.07,0.02,-0.02
2.6875,0.03,0.02,-0.02
2.7125,0.04,0.03,-0.03
2.7375,0.04,0.02,-0.02
2.7625,0.03,0.02,-0.02
2.7875,0.03,0.02,-0.02
2.8125,0.02,0.02,-0.02
2.8375,0.05,0.02,-0.02
2.8625,0.03,0.02,-0.02
2.8875,0.02,0.02,-0.02
2.9125,0.04,0.02,-0.02
2.9375,0.01,0.02,-0.02
2.9625,0.01,0.01,-0.01

